ind_fixed,geo_year,time_trend,geo_fixed,year,geo,ind,wage_rate_2010,wage_rate,hours_worked,rti,off
0,0-2019,23,0,2019,Alberta,Accommodation and food services [72],443,537.08,29.6,-0.371835888,-1.518085027
0,0-2020,24,0,2020,Alberta,Accommodation and food services [72],442.17,536.08,28.2,-0.371835888,-1.518085027
0,1-1997,1,1,1997,British Columbia,Accommodation and food services [72],358.89,435.11,31.5,-0.371835888,-1.518085027
0,1-1998,2,1,1998,British Columbia,Accommodation and food services [72],349.47,423.69,32,-0.371835888,-1.518085027
0,1-1999,3,1,1999,British Columbia,Accommodation and food services [72],368.64,446.93,31.7,-0.371835888,-1.518085027
0,1-2000,4,1,2000,British Columbia,Accommodation and food services [72],379.44,460.03,31.5,-0.371835888,-1.518085027
0,1-2001,5,1,2001,British Columbia,Accommodation and food services [72],385.1,466.89,31.4,-0.371835888,-1.518085027
0,1-2002,6,1,2002,British Columbia,Accommodation and food services [72],419.5,508.59,30,-0.371835888,-1.518085027
0,1-2003,7,1,2003,British Columbia,Accommodation and food services [72],445.14,539.68,31,-0.371835888,-1.518085027
0,1-2004,8,1,2004,British Columbia,Accommodation and food services [72],410.35,497.5,30.9,-0.371835888,-1.518085027
0,1-2005,9,1,2005,British Columbia,Accommodation and food services [72],466.97,566.15,31.5,-0.371835888,-1.518085027
0,1-2006,10,1,2006,British Columbia,Accommodation and food services [72],482.97,585.54,31,-0.371835888,-1.518085027
0,1-2007,11,1,2007,British Columbia,Accommodation and food services [72],551.17,668.23,30.8,-0.371835888,-1.518085027
0,1-2008,12,1,2008,British Columbia,Accommodation and food services [72],586.31,710.83,29.8,-0.371835888,-1.518085027
0,1-2009,13,1,2009,British Columbia,Accommodation and food services [72],600.14,727.6,29.7,-0.371835888,-1.518085027
0,1-2010,14,1,2010,British Columbia,Accommodation and food services [72],615.61,746.36,29.2,-0.371835888,-1.518085027
0,1-2011,15,1,2011,British Columbia,Accommodation and food services [72],607.06,735.99,29,-0.371835888,-1.518085027
0,1-2012,16,1,2012,British Columbia,Accommodation and food services [72],651.88,790.33,30.2,-0.371835888,-1.518085027
0,1-2013,17,1,2013,British Columbia,Accommodation and food services [72],713.86,865.47,30.2,-0.371835888,-1.518085027
0,1-2014,18,1,2014,British Columbia,Accommodation and food services [72],688.78,835.07,29.8,-0.371835888,-1.518085027
0,1-2015,19,1,2015,British Columbia,Accommodation and food services [72],759.79,921.16,30.3,-0.371835888,-1.518085027
0,1-2016,20,1,2016,British Columbia,Accommodation and food services [72],729.03,883.86,29.7,-0.371835888,-1.518085027
0,1-2017,21,1,2017,British Columbia,Accommodation and food services [72],715.2,867.1,29.8,-0.371835888,-1.518085027
0,1-2018,22,1,2018,British Columbia,Accommodation and food services [72],705.17,854.94,30,-0.371835888,-1.518085027
0,1-2019,23,1,2019,British Columbia,Accommodation and food services [72],769.52,932.95,30.1,-0.371835888,-1.518085027
0,1-2020,24,1,2020,British Columbia,Accommodation and food services [72],813.98,986.85,28.5,-0.371835888,-1.518085027
0,2-1997,1,2,1997,Manitoba,Accommodation and food services [72],527.91,640.03,30.8,-0.371835888,-1.518085027
0,2-1998,2,2,1998,Manitoba,Accommodation and food services [72],566.2,686.45,30.9,-0.371835888,-1.518085027
0,2-1999,3,2,1999,Manitoba,Accommodation and food services [72],576.33,698.73,30.6,-0.371835888,-1.518085027
0,2-2000,4,2,2000,Manitoba,Accommodation and food services [72],594.08,720.25,30.6,-0.371835888,-1.518085027
0,2-2001,5,2,2001,Manitoba,Accommodation and food services [72],655.04,794.16,29.5,-0.371835888,-1.518085027
0,2-2002,6,2,2002,Manitoba,Accommodation and food services [72],659.61,799.7,29.3,-0.371835888,-1.518085027
0,2-2003,7,2,2003,Manitoba,Accommodation and food services [72],667.88,809.72,29.2,-0.371835888,-1.518085027
0,2-2004,8,2,2004,Manitoba,Accommodation and food services [72],692.36,839.41,29.5,-0.371835888,-1.518085027
0,2-2005,9,2,2005,Manitoba,Accommodation and food services [72],732.02,887.49,29.2,-0.371835888,-1.518085027
0,2-2006,10,2,2006,Manitoba,Accommodation and food services [72],794.13,962.79,29.5,-0.371835888,-1.518085027
0,2-2007,11,2,2007,Manitoba,Accommodation and food services [72],825.8,1001.18,29.4,-0.371835888,-1.518085027
0,2-2008,12,2,2008,Manitoba,Accommodation and food services [72],890.4,1079.51,28.3,-0.371835888,-1.518085027
0,2-2009,13,2,2009,Manitoba,Accommodation and food services [72],933.06,1131.22,29.1,-0.371835888,-1.518085027
0,2-2010,14,2,2010,Manitoba,Accommodation and food services [72],943.86,1144.32,28.5,-0.371835888,-1.518085027
0,2-2011,15,2,2011,Manitoba,Accommodation and food services [72],988.25,1198.14,28.5,-0.371835888,-1.518085027
0,2-2012,16,2,2012,Manitoba,Accommodation and food services [72],1042.53,1263.94,28,-0.371835888,-1.518085027
0,2-2013,17,2,2013,Manitoba,Accommodation and food services [72],1032.64,1251.95,28.5,-0.371835888,-1.518085027
0,2-2014,18,2,2014,Manitoba,Accommodation and food services [72],1079,1308.16,28,-0.371835888,-1.518085027
0,2-2015,19,2,2015,Manitoba,Accommodation and food services [72],1109.44,1345.06,28.7,-0.371835888,-1.518085027
0,2-2016,20,2,2016,Manitoba,Accommodation and food services [72],1134.91,1375.94,28.2,-0.371835888,-1.518085027
0,2-2017,21,2,2017,Manitoba,Accommodation and food services [72],1132.9,1373.51,28,-0.371835888,-1.518085027
0,2-2018,22,2,2018,Manitoba,Accommodation and food services [72],1091.18,1322.93,28.4,-0.371835888,-1.518085027
0,2-2019,23,2,2019,Manitoba,Accommodation and food services [72],1151.16,1395.64,28.2,-0.371835888,-1.518085027
0,2-2020,24,2,2020,Manitoba,Accommodation and food services [72],1185.62,1437.43,27.3,-0.371835888,-1.518085027
0,3-1997,1,3,1997,New Brunswick,Accommodation and food services [72],543.48,658.91,32.5,-0.371835888,-1.518085027
0,3-1998,2,3,1998,New Brunswick,Accommodation and food services [72],533.27,646.53,32.1,-0.371835888,-1.518085027
0,3-1999,3,3,1999,New Brunswick,Accommodation and food services [72],547.02,663.2,33.3,-0.371835888,-1.518085027
0,3-2000,4,3,2000,New Brunswick,Accommodation and food services [72],546.22,662.23,32.5,-0.371835888,-1.518085027
0,3-2001,5,3,2001,New Brunswick,Accommodation and food services [72],575.62,697.87,32.8,-0.371835888,-1.518085027
0,3-2002,6,3,2002,New Brunswick,Accommodation and food services [72],629.99,763.79,32.2,-0.371835888,-1.518085027
0,3-2003,7,3,2003,New Brunswick,Accommodation and food services [72],647.16,784.61,32.1,-0.371835888,-1.518085027
0,3-2004,8,3,2004,New Brunswick,Accommodation and food services [72],657.88,797.6,31.3,-0.371835888,-1.518085027
0,3-2005,9,3,2005,New Brunswick,Accommodation and food services [72],693.13,840.34,31.1,-0.371835888,-1.518085027
0,3-2006,10,3,2006,New Brunswick,Accommodation and food services [72],731.68,887.07,31.6,-0.371835888,-1.518085027
0,3-2007,11,3,2007,New Brunswick,Accommodation and food services [72],762.25,924.14,30.9,-0.371835888,-1.518085027
0,3-2008,12,3,2008,New Brunswick,Accommodation and food services [72],793.24,961.71,29.7,-0.371835888,-1.518085027
0,3-2009,13,3,2009,New Brunswick,Accommodation and food services [72],821.5,995.97,29.9,-0.371835888,-1.518085027
0,3-2010,14,3,2010,New Brunswick,Accommodation and food services [72],848.3,1028.46,30.8,-0.371835888,-1.518085027
0,3-2011,15,3,2011,New Brunswick,Accommodation and food services [72],866.69,1050.76,30.4,-0.371835888,-1.518085027
0,3-2012,16,3,2012,New Brunswick,Accommodation and food services [72],910.39,1103.74,31.4,-0.371835888,-1.518085027
0,3-2013,17,3,2013,New Brunswick,Accommodation and food services [72],882.96,1070.49,31.1,-0.371835888,-1.518085027
0,3-2014,18,3,2014,New Brunswick,Accommodation and food services [72],901.83,1093.36,30.2,-0.371835888,-1.518085027
0,3-2015,19,3,2015,New Brunswick,Accommodation and food services [72],963.66,1168.32,31.3,-0.371835888,-1.518085027
0,3-2016,20,3,2016,New Brunswick,Accommodation and food services [72],960.83,1164.89,32.3,-0.371835888,-1.518085027
0,3-2017,21,3,2017,New Brunswick,Accommodation and food services [72],973.04,1179.7,31.3,-0.371835888,-1.518085027
0,3-2018,22,3,2018,New Brunswick,Accommodation and food services [72],987.39,1197.09,31.1,-0.371835888,-1.518085027
0,3-2019,23,3,2019,New Brunswick,Accommodation and food services [72],954.22,1156.88,30.2,-0.371835888,-1.518085027
0,3-2020,24,3,2020,New Brunswick,Accommodation and food services [72],1070.8,1298.22,29.8,-0.371835888,-1.518085027
0,4-1997,1,4,1997,Newfoundland and Labrador,Accommodation and food services [72],474.02,574.69,34.4,-0.371835888,-1.518085027
0,4-1998,2,4,1998,Newfoundland and Labrador,Accommodation and food services [72],460.11,557.83,35.2,-0.371835888,-1.518085027
0,4-1999,3,4,1999,Newfoundland and Labrador,Accommodation and food services [72],490.28,594.41,32.5,-0.371835888,-1.518085027
0,4-2000,4,4,2000,Newfoundland and Labrador,Accommodation and food services [72],473.72,574.33,33.4,-0.371835888,-1.518085027
0,4-2001,5,4,2001,Newfoundland and Labrador,Accommodation and food services [72],553.18,670.67,33.2,-0.371835888,-1.518085027
0,4-2002,6,4,2002,Newfoundland and Labrador,Accommodation and food services [72],539.69,654.31,31.8,-0.371835888,-1.518085027
0,4-2003,7,4,2003,Newfoundland and Labrador,Accommodation and food services [72],556.43,674.61,33.1,-0.371835888,-1.518085027
0,4-2004,8,4,2004,Newfoundland and Labrador,Accommodation and food services [72],566.36,686.65,32.6,-0.371835888,-1.518085027
0,4-2005,9,4,2005,Newfoundland and Labrador,Accommodation and food services [72],590.93,716.43,33.5,-0.371835888,-1.518085027
0,4-2006,10,4,2006,Newfoundland and Labrador,Accommodation and food services [72],659.53,799.6,34.1,-0.371835888,-1.518085027
0,4-2007,11,4,2007,Newfoundland and Labrador,Accommodation and food services [72],671.15,813.69,33.4,-0.371835888,-1.518085027
0,4-2008,12,4,2008,Newfoundland and Labrador,Accommodation and food services [72],767.53,930.54,33,-0.371835888,-1.518085027
0,4-2009,13,4,2009,Newfoundland and Labrador,Accommodation and food services [72],742.48,900.17,33.5,-0.371835888,-1.518085027
0,4-2010,14,4,2010,Newfoundland and Labrador,Accommodation and food services [72],737.22,893.79,33,-0.371835888,-1.518085027
0,4-2011,15,4,2011,Newfoundland and Labrador,Accommodation and food services [72],736.33,892.71,32.3,-0.371835888,-1.518085027
0,4-2012,16,4,2012,Newfoundland and Labrador,Accommodation and food services [72],831.78,1008.43,32.4,-0.371835888,-1.518085027
0,4-2013,17,4,2013,Newfoundland and Labrador,Accommodation and food services [72],873.57,1059.1,32,-0.371835888,-1.518085027
0,4-2014,18,4,2014,Newfoundland and Labrador,Accommodation and food services [72],900,1091.14,34.4,-0.371835888,-1.518085027
0,4-2015,19,4,2015,Newfoundland and Labrador,Accommodation and food services [72],916.04,1110.59,32.7,-0.371835888,-1.518085027
0,4-2016,20,4,2016,Newfoundland and Labrador,Accommodation and food services [72],940.12,1139.78,31.3,-0.371835888,-1.518085027
0,4-2017,21,4,2017,Newfoundland and Labrador,Accommodation and food services [72],919.37,1114.63,30.9,-0.371835888,-1.518085027
0,4-2018,22,4,2018,Newfoundland and Labrador,Accommodation and food services [72],1008,1222.08,30.6,-0.371835888,-1.518085027
0,4-2019,23,4,2019,Newfoundland and Labrador,Accommodation and food services [72],991.24,1201.76,31.9,-0.371835888,-1.518085027
0,4-2020,24,4,2020,Newfoundland and Labrador,Accommodation and food services [72],1096.68,1329.59,31.4,-0.371835888,-1.518085027
0,5-1997,1,5,1997,Nova Scotia,Accommodation and food services [72],413.51,501.33,32.9,-0.371835888,-1.518085027
0,5-1998,2,5,1998,Nova Scotia,Accommodation and food services [72],418.5,507.38,34.1,-0.371835888,-1.518085027
0,5-1999,3,5,1999,Nova Scotia,Accommodation and food services [72],425.12,515.41,33.4,-0.371835888,-1.518085027
0,5-2000,4,5,2000,Nova Scotia,Accommodation and food services [72],441.48,535.24,33,-0.371835888,-1.518085027
0,5-2001,5,5,2001,Nova Scotia,Accommodation and food services [72],474.78,575.61,32.8,-0.371835888,-1.518085027
0,5-2002,6,5,2002,Nova Scotia,Accommodation and food services [72],495.88,601.2,32.4,-0.371835888,-1.518085027
0,5-2003,7,5,2003,Nova Scotia,Accommodation and food services [72],509.67,617.91,31.9,-0.371835888,-1.518085027
0,5-2004,8,5,2004,Nova Scotia,Accommodation and food services [72],520.36,630.87,31.2,-0.371835888,-1.518085027
0,5-2005,9,5,2005,Nova Scotia,Accommodation and food services [72],553.2,670.69,31.5,-0.371835888,-1.518085027
0,5-2006,10,5,2006,Nova Scotia,Accommodation and food services [72],602.97,731.03,32,-0.371835888,-1.518085027
0,5-2007,11,5,2007,Nova Scotia,Accommodation and food services [72],645.18,782.2,31.6,-0.371835888,-1.518085027
0,5-2008,12,5,2008,Nova Scotia,Accommodation and food services [72],691.53,838.4,30.7,-0.371835888,-1.518085027
0,5-2009,13,5,2009,Nova Scotia,Accommodation and food services [72],711.71,862.87,31.4,-0.371835888,-1.518085027
0,5-2010,14,5,2010,Nova Scotia,Accommodation and food services [72],706.08,856.04,31,-0.371835888,-1.518085027
0,5-2011,15,5,2011,Nova Scotia,Accommodation and food services [72],738.42,895.25,31.3,-0.371835888,-1.518085027
0,5-2012,16,5,2012,Nova Scotia,Accommodation and food services [72],743.58,901.5,30.4,-0.371835888,-1.518085027
0,5-2013,17,5,2013,Nova Scotia,Accommodation and food services [72],834.7,1011.97,31.1,-0.371835888,-1.518085027
0,5-2014,18,5,2014,Nova Scotia,Accommodation and food services [72],837.81,1015.74,30.3,-0.371835888,-1.518085027
0,5-2015,19,5,2015,Nova Scotia,Accommodation and food services [72],831.03,1007.52,30.5,-0.371835888,-1.518085027
0,5-2016,20,5,2016,Nova Scotia,Accommodation and food services [72],874.86,1060.66,30.5,-0.371835888,-1.518085027
0,5-2017,21,5,2017,Nova Scotia,Accommodation and food services [72],884.75,1072.65,30.1,-0.371835888,-1.518085027
0,5-2018,22,5,2018,Nova Scotia,Accommodation and food services [72],871.64,1056.76,31.3,-0.371835888,-1.518085027
0,5-2019,23,5,2019,Nova Scotia,Accommodation and food services [72],872.03,1057.23,30.1,-0.371835888,-1.518085027
0,5-2020,24,5,2020,Nova Scotia,Accommodation and food services [72],910.93,1104.39,28.2,-0.371835888,-1.518085027
0,6-1997,1,6,1997,Ontario,Accommodation and food services [72],437.4,530.3,30.7,-0.371835888,-1.518085027
0,6-1998,2,6,1998,Ontario,Accommodation and food services [72],472.8,573.21,32.4,-0.371835888,-1.518085027
0,6-1999,3,6,1999,Ontario,Accommodation and food services [72],461.9,560,32.1,-0.371835888,-1.518085027
0,6-2000,4,6,2000,Ontario,Accommodation and food services [72],475.94,577.02,31.4,-0.371835888,-1.518085027
0,6-2001,5,6,2001,Ontario,Accommodation and food services [72],473.1,573.58,30.5,-0.371835888,-1.518085027
0,6-2002,6,6,2002,Ontario,Accommodation and food services [72],495.34,600.54,30.3,-0.371835888,-1.518085027
0,6-2003,7,6,2003,Ontario,Accommodation and food services [72],500.35,606.62,30.9,-0.371835888,-1.518085027
0,6-2004,8,6,2004,Ontario,Accommodation and food services [72],487.68,591.26,31.1,-0.371835888,-1.518085027
0,6-2005,9,6,2005,Ontario,Accommodation and food services [72],542.34,657.52,30.3,-0.371835888,-1.518085027
0,6-2006,10,6,2006,Ontario,Accommodation and food services [72],552.91,670.34,30.2,-0.371835888,-1.518085027
0,6-2007,11,6,2007,Ontario,Accommodation and food services [72],590.97,716.48,30.6,-0.371835888,-1.518085027
0,6-2008,12,6,2008,Ontario,Accommodation and food services [72],596.24,722.87,30,-0.371835888,-1.518085027
0,6-2009,13,6,2009,Ontario,Accommodation and food services [72],602.54,730.51,29.2,-0.371835888,-1.518085027
0,6-2010,14,6,2010,Ontario,Accommodation and food services [72],628.28,761.72,28.7,-0.371835888,-1.518085027
0,6-2011,15,6,2011,Ontario,Accommodation and food services [72],631.92,766.13,28.7,-0.371835888,-1.518085027
0,6-2012,16,6,2012,Ontario,Accommodation and food services [72],650.97,789.22,29.2,-0.371835888,-1.518085027
0,6-2013,17,6,2013,Ontario,Accommodation and food services [72],661.93,802.51,29.2,-0.371835888,-1.518085027
0,6-2014,18,6,2014,Ontario,Accommodation and food services [72],686.48,832.27,29.6,-0.371835888,-1.518085027
0,6-2015,19,6,2015,Ontario,Accommodation and food services [72],682.15,827.03,29.5,-0.371835888,-1.518085027
0,6-2016,20,6,2016,Ontario,Accommodation and food services [72],651.49,789.86,29.7,-0.371835888,-1.518085027
0,6-2017,21,6,2017,Ontario,Accommodation and food services [72],623.7,756.16,29.2,-0.371835888,-1.518085027
0,6-2018,22,6,2018,Ontario,Accommodation and food services [72],659.87,800.01,29.3,-0.371835888,-1.518085027
0,6-2019,23,6,2019,Ontario,Accommodation and food services [72],716.56,868.75,28.6,-0.371835888,-1.518085027
0,6-2020,24,6,2020,Ontario,Accommodation and food services [72],734.05,889.95,27.4,-0.371835888,-1.518085027
0,7-1997,1,7,1997,Prince Edward Island,Accommodation and food services [72],522.75,633.77,31.4,-0.371835888,-1.518085027
0,7-1998,2,7,1998,Prince Edward Island,Accommodation and food services [72],545.98,661.94,31.4,-0.371835888,-1.518085027
0,7-1999,3,7,1999,Prince Edward Island,Accommodation and food services [72],578.78,701.7,33.8,-0.371835888,-1.518085027
0,7-2000,4,7,2000,Prince Edward Island,Accommodation and food services [72],582.89,706.69,33.2,-0.371835888,-1.518085027
0,7-2001,5,7,2001,Prince Edward Island,Accommodation and food services [72],595.48,721.95,32,-0.371835888,-1.518085027
0,7-2002,6,7,2002,Prince Edward Island,Accommodation and food services [72],653.09,791.79,32.6,-0.371835888,-1.518085027
0,7-2003,7,7,2003,Prince Edward Island,Accommodation and food services [72],635.04,769.91,33.2,-0.371835888,-1.518085027
0,7-2004,8,7,2004,Prince Edward Island,Accommodation and food services [72],647.55,785.08,30.9,-0.371835888,-1.518085027
0,7-2005,9,7,2005,Prince Edward Island,Accommodation and food services [72],706,855.94,31.9,-0.371835888,-1.518085027
0,7-2006,10,7,2006,Prince Edward Island,Accommodation and food services [72],750.27,909.61,31.9,-0.371835888,-1.518085027
0,7-2007,11,7,2007,Prince Edward Island,Accommodation and food services [72],769.02,932.35,30.9,-0.371835888,-1.518085027
0,7-2008,12,7,2008,Prince Edward Island,Accommodation and food services [72],810.07,982.12,30.9,-0.371835888,-1.518085027
0,7-2009,13,7,2009,Prince Edward Island,Accommodation and food services [72],844.21,1023.5,31.2,-0.371835888,-1.518085027
0,7-2010,14,7,2010,Prince Edward Island,Accommodation and food services [72],851.37,1032.19,28.6,-0.371835888,-1.518085027
0,7-2011,15,7,2011,Prince Edward Island,Accommodation and food services [72],849.99,1030.51,30.2,-0.371835888,-1.518085027
0,7-2012,16,7,2012,Prince Edward Island,Accommodation and food services [72],892.59,1082.16,30.2,-0.371835888,-1.518085027
0,7-2013,17,7,2013,Prince Edward Island,Accommodation and food services [72],941.45,1141.4,30.3,-0.371835888,-1.518085027
0,7-2014,18,7,2014,Prince Edward Island,Accommodation and food services [72],958.81,1162.44,31.1,-0.371835888,-1.518085027
0,7-2015,19,7,2015,Prince Edward Island,Accommodation and food services [72],963.38,1167.98,30.7,-0.371835888,-1.518085027
0,7-2016,20,7,2016,Prince Edward Island,Accommodation and food services [72],1009.08,1223.39,29.9,-0.371835888,-1.518085027
0,7-2017,21,7,2017,Prince Edward Island,Accommodation and food services [72],1031.73,1250.85,31.1,-0.371835888,-1.518085027
0,7-2018,22,7,2018,Prince Edward Island,Accommodation and food services [72],1013.67,1228.95,30.1,-0.371835888,-1.518085027
0,7-2019,23,7,2019,Prince Edward Island,Accommodation and food services [72],1051.91,1275.32,31.6,-0.371835888,-1.518085027
0,7-2020,24,7,2020,Prince Edward Island,Accommodation and food services [72],1064.37,1290.42,29.1,-0.371835888,-1.518085027
0,8-1997,1,8,1997,Quebec,Accommodation and food services [72],382.35,463.56,32.5,-0.371835888,-1.518085027
0,8-1998,2,8,1998,Quebec,Accommodation and food services [72],407.25,493.74,31.4,-0.371835888,-1.518085027
0,8-1999,3,8,1999,Quebec,Accommodation and food services [72],395.27,479.22,31.5,-0.371835888,-1.518085027
0,8-2000,4,8,2000,Quebec,Accommodation and food services [72],431.96,523.7,31.5,-0.371835888,-1.518085027
0,8-2001,5,8,2001,Quebec,Accommodation and food services [72],446.42,541.23,31.2,-0.371835888,-1.518085027
0,8-2002,6,8,2002,Quebec,Accommodation and food services [72],480.57,582.63,30.7,-0.371835888,-1.518085027
0,8-2003,7,8,2003,Quebec,Accommodation and food services [72],452.21,548.25,29.5,-0.371835888,-1.518085027
0,8-2004,8,8,2004,Quebec,Accommodation and food services [72],480.02,581.97,29.8,-0.371835888,-1.518085027
0,8-2005,9,8,2005,Quebec,Accommodation and food services [72],511.91,620.63,29.4,-0.371835888,-1.518085027
0,8-2006,10,8,2006,Quebec,Accommodation and food services [72],550.21,667.06,29.7,-0.371835888,-1.518085027
0,8-2007,11,8,2007,Quebec,Accommodation and food services [72],611.71,741.62,30.2,-0.371835888,-1.518085027
0,8-2008,12,8,2008,Quebec,Accommodation and food services [72],618.48,749.83,29.4,-0.371835888,-1.518085027
0,8-2009,13,8,2009,Quebec,Accommodation and food services [72],673.43,816.45,29.3,-0.371835888,-1.518085027
0,8-2010,14,8,2010,Quebec,Accommodation and food services [72],675.14,818.53,28.4,-0.371835888,-1.518085027
0,8-2011,15,8,2011,Quebec,Accommodation and food services [72],686.41,832.19,28.9,-0.371835888,-1.518085027
0,8-2012,16,8,2012,Quebec,Accommodation and food services [72],669.69,811.92,29,-0.371835888,-1.518085027
0,8-2013,17,8,2013,Quebec,Accommodation and food services [72],706.86,856.98,28.2,-0.371835888,-1.518085027
0,8-2014,18,8,2014,Quebec,Accommodation and food services [72],756.75,917.47,28.3,-0.371835888,-1.518085027
0,8-2015,19,8,2015,Quebec,Accommodation and food services [72],777.63,942.78,28.7,-0.371835888,-1.518085027
0,8-2016,20,8,2016,Quebec,Accommodation and food services [72],748.12,907.01,28.8,-0.371835888,-1.518085027
0,8-2017,21,8,2017,Quebec,Accommodation and food services [72],723.44,877.09,28.6,-0.371835888,-1.518085027
0,8-2018,22,8,2018,Quebec,Accommodation and food services [72],803.22,973.81,28.6,-0.371835888,-1.518085027
0,8-2019,23,8,2019,Quebec,Accommodation and food services [72],809.87,981.87,28.6,-0.371835888,-1.518085027
0,8-2020,24,8,2020,Quebec,Accommodation and food services [72],877.32,1063.65,26.5,-0.371835888,-1.518085027
0,9-1997,1,9,1997,Saskatchewan,Accommodation and food services [72],582.15,705.79,31.1,-0.371835888,-1.518085027
0,9-1998,2,9,1998,Saskatchewan,Accommodation and food services [72],624.61,757.26,32.1,-0.371835888,-1.518085027
0,9-1999,3,9,1999,Saskatchewan,Accommodation and food services [72],654.89,793.98,31.6,-0.371835888,-1.518085027
0,9-2000,4,9,2000,Saskatchewan,Accommodation and food services [72],677.47,821.35,31.6,-0.371835888,-1.518085027
0,9-2001,5,9,2001,Saskatchewan,Accommodation and food services [72],703.75,853.21,31.6,-0.371835888,-1.518085027
0,9-2002,6,9,2002,Saskatchewan,Accommodation and food services [72],701.59,850.6,29.8,-0.371835888,-1.518085027
0,9-2003,7,9,2003,Saskatchewan,Accommodation and food services [72],719.06,871.78,31.2,-0.371835888,-1.518085027
0,9-2004,8,9,2004,Saskatchewan,Accommodation and food services [72],746.08,904.53,30.7,-0.371835888,-1.518085027
0,9-2005,9,9,2005,Saskatchewan,Accommodation and food services [72],833.23,1010.19,30.5,-0.371835888,-1.518085027
0,9-2006,10,9,2006,Saskatchewan,Accommodation and food services [72],864.64,1048.27,31.3,-0.371835888,-1.518085027
0,9-2007,11,9,2007,Saskatchewan,Accommodation and food services [72],896.52,1086.92,32.3,-0.371835888,-1.518085027
0,9-2008,12,9,2008,Saskatchewan,Accommodation and food services [72],925.33,1121.85,31.8,-0.371835888,-1.518085027
0,9-2009,13,9,2009,Saskatchewan,Accommodation and food services [72],985.78,1195.14,30.5,-0.371835888,-1.518085027
0,9-2010,14,9,2010,Saskatchewan,Accommodation and food services [72],991.95,1202.62,31.7,-0.371835888,-1.518085027
0,9-2011,15,9,2011,Saskatchewan,Accommodation and food services [72],1038.42,1258.96,31.9,-0.371835888,-1.518085027
0,9-2012,16,9,2012,Saskatchewan,Accommodation and food services [72],1066.14,1292.57,32.3,-0.371835888,-1.518085027
0,9-2013,17,9,2013,Saskatchewan,Accommodation and food services [72],1139.43,1381.43,30.5,-0.371835888,-1.518085027
0,9-2014,18,9,2014,Saskatchewan,Accommodation and food services [72],1113.62,1350.13,31.6,-0.371835888,-1.518085027
0,9-2015,19,9,2015,Saskatchewan,Accommodation and food services [72],1176.45,1426.31,30.8,-0.371835888,-1.518085027
0,9-2016,20,9,2016,Saskatchewan,Accommodation and food services [72],1182.81,1434.02,30.4,-0.371835888,-1.518085027
0,9-2017,21,9,2017,Saskatchewan,Accommodation and food services [72],1102.52,1336.67,29.9,-0.371835888,-1.518085027
0,9-2018,22,9,2018,Saskatchewan,Accommodation and food services [72],1172.78,1421.86,30.5,-0.371835888,-1.518085027
