occ_fixed,geo_year,time_trend,geo_fixed,year,geo,occ,hours_worked,rti,off
0,0-2019,33,0,2019,Alberta,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,0-2020,34,0,2020,Alberta,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,1-1987,1,1,1987,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,1-1988,2,1,1988,British Columbia,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,1-1989,3,1,1989,British Columbia,Administrative and financial supervisors and administrative occupations [12],36.3,-1.13485495,-0.47693655
0,1-1990,4,1,1990,British Columbia,Administrative and financial supervisors and administrative occupations [12],36.7,-1.13485495,-0.47693655
0,1-1991,5,1,1991,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,1-1992,6,1,1992,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,1-1993,7,1,1993,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,1-1994,8,1,1994,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,1-1995,9,1,1995,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,1-1996,10,1,1996,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,1-1997,11,1,1997,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,1-1998,12,1,1998,British Columbia,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,1-1999,13,1,1999,British Columbia,Administrative and financial supervisors and administrative occupations [12],34,-1.13485495,-0.47693655
0,1-2000,14,1,2000,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,1-2001,15,1,2001,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,1-2002,16,1,2002,British Columbia,Administrative and financial supervisors and administrative occupations [12],34,-1.13485495,-0.47693655
0,1-2003,17,1,2003,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.1,-1.13485495,-0.47693655
0,1-2004,18,1,2004,British Columbia,Administrative and financial supervisors and administrative occupations [12],34,-1.13485495,-0.47693655
0,1-2005,19,1,2005,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.2,-1.13485495,-0.47693655
0,1-2006,20,1,2006,British Columbia,Administrative and financial supervisors and administrative occupations [12],34,-1.13485495,-0.47693655
0,1-2007,21,1,2007,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,1-2008,22,1,2008,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,1-2009,23,1,2009,British Columbia,Administrative and financial supervisors and administrative occupations [12],33.6,-1.13485495,-0.47693655
0,1-2010,24,1,2010,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.1,-1.13485495,-0.47693655
0,1-2011,25,1,2011,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,1-2012,26,1,2012,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,1-2013,27,1,2013,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,1-2014,28,1,2014,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,1-2015,29,1,2015,British Columbia,Administrative and financial supervisors and administrative occupations [12],33.9,-1.13485495,-0.47693655
0,1-2016,30,1,2016,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,1-2017,31,1,2017,British Columbia,Administrative and financial supervisors and administrative occupations [12],33.8,-1.13485495,-0.47693655
0,1-2018,32,1,2018,British Columbia,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,1-2019,33,1,2019,British Columbia,Administrative and financial supervisors and administrative occupations [12],33.8,-1.13485495,-0.47693655
0,1-2020,34,1,2020,British Columbia,Administrative and financial supervisors and administrative occupations [12],33.9,-1.13485495,-0.47693655
0,2-1987,1,2,1987,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,2-1988,2,2,1988,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,2-1989,3,2,1989,Manitoba,Administrative and financial supervisors and administrative occupations [12],36.9,-1.13485495,-0.47693655
0,2-1990,4,2,1990,Manitoba,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,2-1991,5,2,1991,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,2-1992,6,2,1992,Manitoba,Administrative and financial supervisors and administrative occupations [12],33.7,-1.13485495,-0.47693655
0,2-1993,7,2,1993,Manitoba,Administrative and financial supervisors and administrative occupations [12],33.9,-1.13485495,-0.47693655
0,2-1994,8,2,1994,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,2-1995,9,2,1995,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,2-1996,10,2,1996,Manitoba,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,2-1997,11,2,1997,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,2-1998,12,2,1998,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,2-1999,13,2,1999,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,2-2000,14,2,2000,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,2-2001,15,2,2001,Manitoba,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,2-2002,16,2,2002,Manitoba,Administrative and financial supervisors and administrative occupations [12],33.9,-1.13485495,-0.47693655
0,2-2003,17,2,2003,Manitoba,Administrative and financial supervisors and administrative occupations [12],33.6,-1.13485495,-0.47693655
0,2-2004,18,2,2004,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,2-2005,19,2,2005,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,2-2006,20,2,2006,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,2-2007,21,2,2007,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,2-2008,22,2,2008,Manitoba,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,2-2009,23,2,2009,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,2-2010,24,2,2010,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,2-2011,25,2,2011,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,2-2012,26,2,2012,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,2-2013,27,2,2013,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,2-2014,28,2,2014,Manitoba,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,2-2015,29,2,2015,Manitoba,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,2-2016,30,2,2016,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,2-2017,31,2,2017,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,2-2018,32,2,2018,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,2-2019,33,2,2019,Manitoba,Administrative and financial supervisors and administrative occupations [12],33.7,-1.13485495,-0.47693655
0,2-2020,34,2,2020,Manitoba,Administrative and financial supervisors and administrative occupations [12],34.2,-1.13485495,-0.47693655
0,3-1987,1,3,1987,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,3-1988,2,3,1988,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,3-1989,3,3,1989,New Brunswick,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,3-1990,4,3,1990,New Brunswick,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,3-1991,5,3,1991,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,3-1992,6,3,1992,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,3-1993,7,3,1993,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,3-1994,8,3,1994,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-1995,9,3,1995,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,3-1996,10,3,1996,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,3-1997,11,3,1997,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-1998,12,3,1998,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,3-1999,13,3,1999,New Brunswick,Administrative and financial supervisors and administrative occupations [12],36.5,-1.13485495,-0.47693655
0,3-2000,14,3,2000,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-2001,15,3,2001,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-2002,16,3,2002,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,3-2003,17,3,2003,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,3-2004,18,3,2004,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,3-2005,19,3,2005,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,3-2006,20,3,2006,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,3-2007,21,3,2007,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,3-2008,22,3,2008,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,3-2009,23,3,2009,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,3-2010,24,3,2010,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,3-2011,25,3,2011,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,3-2012,26,3,2012,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-2013,27,3,2013,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,3-2014,28,3,2014,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,3-2015,29,3,2015,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,3-2016,30,3,2016,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,3-2017,31,3,2017,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,3-2018,32,3,2018,New Brunswick,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,3-2019,33,3,2019,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,3-2020,34,3,2020,New Brunswick,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,4-1987,1,4,1987,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,4-1988,2,4,1988,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,4-1989,3,4,1989,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.5,-1.13485495,-0.47693655
0,4-1990,4,4,1990,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],37.5,-1.13485495,-0.47693655
0,4-1991,5,4,1991,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,4-1992,6,4,1992,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,4-1993,7,4,1993,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,4-1994,8,4,1994,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,4-1995,9,4,1995,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,4-1996,10,4,1996,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.9,-1.13485495,-0.47693655
0,4-1997,11,4,1997,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.8,-1.13485495,-0.47693655
0,4-1998,12,4,1998,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,4-1999,13,4,1999,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,4-2000,14,4,2000,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.7,-1.13485495,-0.47693655
0,4-2001,15,4,2001,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,4-2002,16,4,2002,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,4-2003,17,4,2003,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,4-2004,18,4,2004,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,4-2005,19,4,2005,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,4-2006,20,4,2006,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,4-2007,21,4,2007,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,4-2008,22,4,2008,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,4-2009,23,4,2009,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,4-2010,24,4,2010,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,4-2011,25,4,2011,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,4-2012,26,4,2012,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,4-2013,27,4,2013,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.3,-1.13485495,-0.47693655
0,4-2014,28,4,2014,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,4-2015,29,4,2015,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,4-2016,30,4,2016,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.5,-1.13485495,-0.47693655
0,4-2017,31,4,2017,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,4-2018,32,4,2018,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,4-2019,33,4,2019,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,4-2020,34,4,2020,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,5-1987,1,5,1987,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,5-1988,2,5,1988,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,5-1989,3,5,1989,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36.4,-1.13485495,-0.47693655
0,5-1990,4,5,1990,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,5-1991,5,5,1991,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,5-1992,6,5,1992,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,5-1993,7,5,1993,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36.3,-1.13485495,-0.47693655
0,5-1994,8,5,1994,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36.8,-1.13485495,-0.47693655
0,5-1995,9,5,1995,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36.4,-1.13485495,-0.47693655
0,5-1996,10,5,1996,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,5-1997,11,5,1997,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],37.9,-1.13485495,-0.47693655
0,5-1998,12,5,1998,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,5-1999,13,5,1999,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,5-2000,14,5,2000,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,5-2001,15,5,2001,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,5-2002,16,5,2002,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,5-2003,17,5,2003,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,5-2004,18,5,2004,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.2,-1.13485495,-0.47693655
0,5-2005,19,5,2005,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,5-2006,20,5,2006,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.6,-1.13485495,-0.47693655
0,5-2007,21,5,2007,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,5-2008,22,5,2008,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,5-2009,23,5,2009,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.4,-1.13485495,-0.47693655
0,5-2010,24,5,2010,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,5-2011,25,5,2011,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,5-2012,26,5,2012,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,5-2013,27,5,2013,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,5-2014,28,5,2014,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],33.5,-1.13485495,-0.47693655
0,5-2015,29,5,2015,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,5-2016,30,5,2016,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,5-2017,31,5,2017,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],33.5,-1.13485495,-0.47693655
0,5-2018,32,5,2018,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,5-2019,33,5,2019,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,5-2020,34,5,2020,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,6-1987,1,6,1987,Ontario,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,6-1988,2,6,1988,Ontario,Administrative and financial supervisors and administrative occupations [12],36.7,-1.13485495,-0.47693655
0,6-1989,3,6,1989,Ontario,Administrative and financial supervisors and administrative occupations [12],37,-1.13485495,-0.47693655
0,6-1990,4,6,1990,Ontario,Administrative and financial supervisors and administrative occupations [12],36.5,-1.13485495,-0.47693655
0,6-1991,5,6,1991,Ontario,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,6-1992,6,6,1992,Ontario,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,6-1993,7,6,1993,Ontario,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,6-1994,8,6,1994,Ontario,Administrative and financial supervisors and administrative occupations [12],36.4,-1.13485495,-0.47693655
0,6-1995,9,6,1995,Ontario,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,6-1996,10,6,1996,Ontario,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,6-1997,11,6,1997,Ontario,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,6-1998,12,6,1998,Ontario,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,6-1999,13,6,1999,Ontario,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,6-2000,14,6,2000,Ontario,Administrative and financial supervisors and administrative occupations [12],36.7,-1.13485495,-0.47693655
0,6-2001,15,6,2001,Ontario,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,6-2002,16,6,2002,Ontario,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,6-2003,17,6,2003,Ontario,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,6-2004,18,6,2004,Ontario,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,6-2005,19,6,2005,Ontario,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,6-2006,20,6,2006,Ontario,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,6-2007,21,6,2007,Ontario,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,6-2008,22,6,2008,Ontario,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,6-2009,23,6,2009,Ontario,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,6-2010,24,6,2010,Ontario,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
0,6-2011,25,6,2011,Ontario,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,6-2012,26,6,2012,Ontario,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,6-2013,27,6,2013,Ontario,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,6-2014,28,6,2014,Ontario,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
