occ_fixed,geo_year,time_trend,geo_fixed,year,geo,occ,wage_rate_2010,wage_rate,hours_worked,rti,off
0,1-2009,13,1,2009,British Columbia,Administrative and financial supervisors and administrative occupations [12],653.44,792.22,33.6,-1.13485495,-0.47693655
0,1-2010,14,1,2010,British Columbia,Administrative and financial supervisors and administrative occupations [12],652.57,791.16,34.1,-1.13485495,-0.47693655
0,1-2011,15,1,2011,British Columbia,Administrative and financial supervisors and administrative occupations [12],669.50,811.69,34.4,-1.13485495,-0.47693655
0,1-2012,16,1,2012,British Columbia,Administrative and financial supervisors and administrative occupations [12],699.27,847.78,34.8,-1.13485495,-0.47693655
0,1-2013,17,1,2013,British Columbia,Administrative and financial supervisors and administrative occupations [12],705.85,855.76,34.6,-1.13485495,-0.47693655
0,1-2014,18,1,2014,British Columbia,Administrative and financial supervisors and administrative occupations [12],744.19,902.24,34.5,-1.13485495,-0.47693655
0,1-2015,19,1,2015,British Columbia,Administrative and financial supervisors and administrative occupations [12],738.34,895.15,33.9,-1.13485495,-0.47693655
0,1-2016,20,1,2016,British Columbia,Administrative and financial supervisors and administrative occupations [12],735.68,891.92,34.7,-1.13485495,-0.47693655
0,1-2017,21,1,2017,British Columbia,Administrative and financial supervisors and administrative occupations [12],748.68,907.69,33.8,-1.13485495,-0.47693655
0,1-2018,22,1,2018,British Columbia,Administrative and financial supervisors and administrative occupations [12],786.65,953.72,34.5,-1.13485495,-0.47693655
0,2-1997,1,2,1997,Manitoba,Administrative and financial supervisors and administrative occupations [12],419.59,508.7,35.2,-1.13485495,-0.47693655
0,2-1998,2,2,1998,Manitoba,Administrative and financial supervisors and administrative occupations [12],455.05,551.69,35.9,-1.13485495,-0.47693655
0,2-1999,3,2,1999,Manitoba,Administrative and financial supervisors and administrative occupations [12],436.86,529.64,35.8,-1.13485495,-0.47693655
0,2-2000,4,2,2000,Manitoba,Administrative and financial supervisors and administrative occupations [12],452.68,548.82,35.6,-1.13485495,-0.47693655
0,2-2001,5,2,2001,Manitoba,Administrative and financial supervisors and administrative occupations [12],453.93,550.34,35,-1.13485495,-0.47693655
0,2-2002,6,2,2002,Manitoba,Administrative and financial supervisors and administrative occupations [12],457.93,555.18,33.9,-1.13485495,-0.47693655
0,2-2003,7,2,2003,Manitoba,Administrative and financial supervisors and administrative occupations [12],491.80,596.25,33.6,-1.13485495,-0.47693655
0,2-2004,8,2,2004,Manitoba,Administrative and financial supervisors and administrative occupations [12],524.22,635.56,34.5,-1.13485495,-0.47693655
0,2-2005,9,2,2005,Manitoba,Administrative and financial supervisors and administrative occupations [12],548.18,664.6,35.4,-1.13485495,-0.47693655
0,2-2006,10,2,2006,Manitoba,Administrative and financial supervisors and administrative occupations [12],555.03,672.91,35.7,-1.13485495,-0.47693655
0,2-2007,11,2,2007,Manitoba,Administrative and financial supervisors and administrative occupations [12],553.47,671.02,35.1,-1.13485495,-0.47693655
0,2-2008,12,2,2008,Manitoba,Administrative and financial supervisors and administrative occupations [12],586.51,711.07,35,-1.13485495,-0.47693655
0,2-2009,13,2,2009,Manitoba,Administrative and financial supervisors and administrative occupations [12],618.10,749.37,34.7,-1.13485495,-0.47693655
0,2-2010,14,2,2010,Manitoba,Administrative and financial supervisors and administrative occupations [12],634.11,768.78,34.3,-1.13485495,-0.47693655
0,2-2011,15,2,2011,Manitoba,Administrative and financial supervisors and administrative occupations [12],641.46,777.7,35.5,-1.13485495,-0.47693655
0,2-2012,16,2,2012,Manitoba,Administrative and financial supervisors and administrative occupations [12],647.67,785.22,35.8,-1.13485495,-0.47693655
0,2-2013,17,2,2013,Manitoba,Administrative and financial supervisors and administrative occupations [12],692.00,838.97,34.7,-1.13485495,-0.47693655
0,2-2014,18,2,2014,Manitoba,Administrative and financial supervisors and administrative occupations [12],687.59,833.62,35,-1.13485495,-0.47693655
0,2-2015,19,2,2015,Manitoba,Administrative and financial supervisors and administrative occupations [12],738.74,895.64,35.3,-1.13485495,-0.47693655
0,2-2016,20,2,2016,Manitoba,Administrative and financial supervisors and administrative occupations [12],726.83,881.2,34.3,-1.13485495,-0.47693655
0,2-2017,21,2,2017,Manitoba,Administrative and financial supervisors and administrative occupations [12],721.40,874.61,34.7,-1.13485495,-0.47693655
0,2-2018,22,2,2018,Manitoba,Administrative and financial supervisors and administrative occupations [12],744.32,902.4,34.9,-1.13485495,-0.47693655
0,3-1997,1,3,1997,New Brunswick,Administrative and financial supervisors and administrative occupations [12],391.49,474.63,35.9,-1.13485495,-0.47693655
0,3-1998,2,3,1998,New Brunswick,Administrative and financial supervisors and administrative occupations [12],403.71,489.45,35.7,-1.13485495,-0.47693655
0,3-1999,3,3,1999,New Brunswick,Administrative and financial supervisors and administrative occupations [12],410.75,497.99,36.5,-1.13485495,-0.47693655
0,3-2000,4,3,2000,New Brunswick,Administrative and financial supervisors and administrative occupations [12],428.54,519.56,35.9,-1.13485495,-0.47693655
0,3-2001,5,3,2001,New Brunswick,Administrative and financial supervisors and administrative occupations [12],446.78,541.67,35.9,-1.13485495,-0.47693655
0,3-2002,6,3,2002,New Brunswick,Administrative and financial supervisors and administrative occupations [12],443.89,538.16,34.9,-1.13485495,-0.47693655
0,3-2003,7,3,2003,New Brunswick,Administrative and financial supervisors and administrative occupations [12],445.79,540.47,34.6,-1.13485495,-0.47693655
0,3-2004,8,3,2004,New Brunswick,Administrative and financial supervisors and administrative occupations [12],475.86,576.93,34.5,-1.13485495,-0.47693655
0,3-2005,9,3,2005,New Brunswick,Administrative and financial supervisors and administrative occupations [12],470.98,571.01,34.9,-1.13485495,-0.47693655
0,3-2006,10,3,2006,New Brunswick,Administrative and financial supervisors and administrative occupations [12],492.49,597.08,34.8,-1.13485495,-0.47693655
0,3-2007,11,3,2007,New Brunswick,Administrative and financial supervisors and administrative occupations [12],498.24,604.06,35.8,-1.13485495,-0.47693655
0,3-2008,12,3,2008,New Brunswick,Administrative and financial supervisors and administrative occupations [12],549.59,666.31,35.5,-1.13485495,-0.47693655
0,3-2009,13,3,2009,New Brunswick,Administrative and financial supervisors and administrative occupations [12],572.40,693.97,35.6,-1.13485495,-0.47693655
0,3-2010,14,3,2010,New Brunswick,Administrative and financial supervisors and administrative occupations [12],576.67,699.15,35.4,-1.13485495,-0.47693655
0,3-2011,15,3,2011,New Brunswick,Administrative and financial supervisors and administrative occupations [12],594.57,720.85,34.9,-1.13485495,-0.47693655
0,3-2012,16,3,2012,New Brunswick,Administrative and financial supervisors and administrative occupations [12],616.23,747.11,35.9,-1.13485495,-0.47693655
0,3-2013,17,3,2013,New Brunswick,Administrative and financial supervisors and administrative occupations [12],620.30,752.04,34.7,-1.13485495,-0.47693655
0,3-2014,18,3,2014,New Brunswick,Administrative and financial supervisors and administrative occupations [12],661.27,801.71,35.5,-1.13485495,-0.47693655
0,3-2015,19,3,2015,New Brunswick,Administrative and financial supervisors and administrative occupations [12],649.28,787.18,35.8,-1.13485495,-0.47693655
0,3-2016,20,3,2016,New Brunswick,Administrative and financial supervisors and administrative occupations [12],660.11,800.31,35.7,-1.13485495,-0.47693655
0,3-2017,21,3,2017,New Brunswick,Administrative and financial supervisors and administrative occupations [12],672.74,815.62,34.9,-1.13485495,-0.47693655
0,3-2018,22,3,2018,New Brunswick,Administrative and financial supervisors and administrative occupations [12],711.50,862.61,35.9,-1.13485495,-0.47693655
0,4-1997,1,4,1997,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],409.38,496.32,36.8,-1.13485495,-0.47693655
0,4-1998,2,4,1998,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],405.74,491.91,35.9,-1.13485495,-0.47693655
0,4-1999,3,4,1999,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],389.18,471.84,36,-1.13485495,-0.47693655
0,4-2000,4,4,2000,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],422.93,512.75,36.7,-1.13485495,-0.47693655
0,4-2001,5,4,2001,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],441.24,534.95,36,-1.13485495,-0.47693655
0,4-2002,6,4,2002,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],482.88,585.44,35.5,-1.13485495,-0.47693655
0,4-2003,7,4,2003,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],470.60,570.55,34.3,-1.13485495,-0.47693655
0,4-2004,8,4,2004,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],469.07,568.69,35.6,-1.13485495,-0.47693655
0,4-2005,9,4,2005,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],472.06,572.32,35.7,-1.13485495,-0.47693655
0,4-2006,10,4,2006,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],489.00,592.85,34.7,-1.13485495,-0.47693655
0,4-2007,11,4,2007,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],494.31,599.29,35.7,-1.13485495,-0.47693655
0,4-2008,12,4,2008,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],539.52,654.11,35.3,-1.13485495,-0.47693655
0,4-2009,13,4,2009,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],554.92,672.77,34.9,-1.13485495,-0.47693655
0,4-2010,14,4,2010,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],611.80,741.74,34.4,-1.13485495,-0.47693655
0,4-2011,15,4,2011,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],637.68,773.11,35.3,-1.13485495,-0.47693655
0,4-2012,16,4,2012,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],635.72,770.74,36.2,-1.13485495,-0.47693655
0,4-2013,17,4,2013,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],660.12,800.32,36.3,-1.13485495,-0.47693655
0,4-2014,18,4,2014,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],729.42,884.33,36.1,-1.13485495,-0.47693655
0,4-2015,19,4,2015,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],706.64,856.72,35,-1.13485495,-0.47693655
0,4-2016,20,4,2016,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],800.41,970.4,36.5,-1.13485495,-0.47693655
0,4-2017,21,4,2017,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],767.79,930.86,35.1,-1.13485495,-0.47693655
0,4-2018,22,4,2018,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],793.08,961.51,36.1,-1.13485495,-0.47693655
0,5-1997,1,5,1997,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],421.61,511.15,37.9,-1.13485495,-0.47693655
0,5-1998,2,5,1998,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],414.70,502.78,35.4,-1.13485495,-0.47693655
0,5-1999,3,5,1999,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],401.56,486.84,35,-1.13485495,-0.47693655
0,5-2000,4,5,2000,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],430.95,522.48,35.2,-1.13485495,-0.47693655
0,5-2001,5,5,2001,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],449.16,544.55,36.1,-1.13485495,-0.47693655
0,5-2002,6,5,2002,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],452.87,549.05,35.1,-1.13485495,-0.47693655
0,5-2003,7,5,2003,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],469.60,569.34,34.7,-1.13485495,-0.47693655
0,5-2004,8,5,2004,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],460.05,557.76,34.2,-1.13485495,-0.47693655
0,5-2005,9,5,2005,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],483.19,585.81,34.9,-1.13485495,-0.47693655
0,5-2006,10,5,2006,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],512.27,621.07,34.6,-1.13485495,-0.47693655
0,5-2007,11,5,2007,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],513.48,622.53,35.6,-1.13485495,-0.47693655
0,5-2008,12,5,2008,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],552.77,670.17,35.5,-1.13485495,-0.47693655
0,5-2009,13,5,2009,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],571.79,693.23,34.4,-1.13485495,-0.47693655
0,5-2010,14,5,2010,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],571.94,693.41,35.4,-1.13485495,-0.47693655
0,5-2011,15,5,2011,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],622.51,754.72,35.6,-1.13485495,-0.47693655
0,5-2012,16,5,2012,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],604.22,732.54,35.7,-1.13485495,-0.47693655
0,5-2013,17,5,2013,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],633.15,767.62,34.3,-1.13485495,-0.47693655
0,5-2014,18,5,2014,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],634.57,769.34,33.5,-1.13485495,-0.47693655
0,5-2015,19,5,2015,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],658.13,797.9,34.3,-1.13485495,-0.47693655
0,5-2016,20,5,2016,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],635.42,770.37,34.5,-1.13485495,-0.47693655
0,5-2017,21,5,2017,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],693.32,840.57,33.5,-1.13485495,-0.47693655
0,5-2018,22,5,2018,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],712.50,863.82,34.9,-1.13485495,-0.47693655
0,6-1997,1,6,1997,Ontario,Administrative and financial supervisors and administrative occupations [12],495.28,600.47,36,-1.13485495,-0.47693655
0,6-1998,2,6,1998,Ontario,Administrative and financial supervisors and administrative occupations [12],514.77,624.1,36.2,-1.13485495,-0.47693655
0,6-1999,3,6,1999,Ontario,Administrative and financial supervisors and administrative occupations [12],500.35,606.62,36.1,-1.13485495,-0.47693655
0,6-2000,4,6,2000,Ontario,Administrative and financial supervisors and administrative occupations [12],526.90,638.81,36.7,-1.13485495,-0.47693655
0,6-2001,5,6,2001,Ontario,Administrative and financial supervisors and administrative occupations [12],542.86,658.15,35.2,-1.13485495,-0.47693655
0,6-2002,6,6,2002,Ontario,Administrative and financial supervisors and administrative occupations [12],551.75,668.93,35.6,-1.13485495,-0.47693655
0,6-2003,7,6,2003,Ontario,Administrative and financial supervisors and administrative occupations [12],569.47,690.41,35.2,-1.13485495,-0.47693655
0,6-2004,8,6,2004,Ontario,Administrative and financial supervisors and administrative occupations [12],571.85,693.3,35,-1.13485495,-0.47693655
0,6-2005,9,6,2005,Ontario,Administrative and financial supervisors and administrative occupations [12],587.19,711.9,35.2,-1.13485495,-0.47693655
0,6-2006,10,6,2006,Ontario,Administrative and financial supervisors and administrative occupations [12],619.70,751.31,35.4,-1.13485495,-0.47693655
0,6-2007,11,6,2007,Ontario,Administrative and financial supervisors and administrative occupations [12],628.35,761.8,35.6,-1.13485495,-0.47693655
0,6-2008,12,6,2008,Ontario,Administrative and financial supervisors and administrative occupations [12],657.90,797.63,35.6,-1.13485495,-0.47693655
0,6-2009,13,6,2009,Ontario,Administrative and financial supervisors and administrative occupations [12],685.20,830.73,35.3,-1.13485495,-0.47693655
0,6-2010,14,6,2010,Ontario,Administrative and financial supervisors and administrative occupations [12],672.96,815.89,35.2,-1.13485495,-0.47693655
0,6-2011,15,6,2011,Ontario,Administrative and financial supervisors and administrative occupations [12],686.96,832.86,35.3,-1.13485495,-0.47693655
0,6-2012,16,6,2012,Ontario,Administrative and financial supervisors and administrative occupations [12],705.11,854.86,35.7,-1.13485495,-0.47693655
0,6-2013,17,6,2013,Ontario,Administrative and financial supervisors and administrative occupations [12],716.94,869.2,35.3,-1.13485495,-0.47693655
0,6-2014,18,6,2014,Ontario,Administrative and financial supervisors and administrative occupations [12],746.02,904.46,34.9,-1.13485495,-0.47693655
0,6-2015,19,6,2015,Ontario,Administrative and financial supervisors and administrative occupations [12],759.01,920.21,35.1,-1.13485495,-0.47693655
0,6-2016,20,6,2016,Ontario,Administrative and financial supervisors and administrative occupations [12],767.56,930.57,35,-1.13485495,-0.47693655
0,6-2017,21,6,2017,Ontario,Administrative and financial supervisors and administrative occupations [12],766.86,929.73,34.7,-1.13485495,-0.47693655
0,6-2018,22,6,2018,Ontario,Administrative and financial supervisors and administrative occupations [12],790.07,957.87,35.2,-1.13485495,-0.47693655
0,7-1997,1,7,1997,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],386.26,468.29,34.8,-1.13485495,-0.47693655
0,7-1998,2,7,1998,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],409.68,496.69,33.9,-1.13485495,-0.47693655
0,7-1999,3,7,1999,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],443.52,537.71,35.4,-1.13485495,-0.47693655
0,7-2000,4,7,2000,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],449.82,545.35,35.1,-1.13485495,-0.47693655
0,7-2001,5,7,2001,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],453.50,549.82,34.8,-1.13485495,-0.47693655
0,7-2002,6,7,2002,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],457.27,554.39,34.1,-1.13485495,-0.47693655
0,7-2003,7,7,2003,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],499.56,605.66,34.4,-1.13485495,-0.47693655
0,7-2004,8,7,2004,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],502.80,609.58,34.6,-1.13485495,-0.47693655
0,7-2005,9,7,2005,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],491.31,595.66,35.9,-1.13485495,-0.47693655
0,7-2006,10,7,2006,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],497.25,602.86,36.2,-1.13485495,-0.47693655
0,7-2007,11,7,2007,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],517.58,627.51,34.8,-1.13485495,-0.47693655
0,7-2008,12,7,2008,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],539.17,653.68,34.7,-1.13485495,-0.47693655
0,7-2009,13,7,2009,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],581.06,704.47,35.3,-1.13485495,-0.47693655
0,7-2010,14,7,2010,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],592.97,718.9,33.1,-1.13485495,-0.47693655
0,7-2011,15,7,2011,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],646.04,783.25,34.2,-1.13485495,-0.47693655
0,7-2012,16,7,2012,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],630.63,764.56,34.9,-1.13485495,-0.47693655
0,7-2013,17,7,2013,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],652.89,791.55,34.1,-1.13485495,-0.47693655
0,7-2014,18,7,2014,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],675.08,818.45,35.1,-1.13485495,-0.47693655
0,7-2015,19,7,2015,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],675.59,819.07,34,-1.13485495,-0.47693655
0,7-2016,20,7,2016,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],682.32,827.23,34.1,-1.13485495,-0.47693655
0,7-2017,21,7,2017,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],711.34,862.41,34.2,-1.13485495,-0.47693655
0,7-2018,22,7,2018,Prince Edward Island,Administrative and financial supervisors and administrative occupations [12],764.72,927.13,35.9,-1.13485495,-0.47693655
0,8-1997,1,8,1997,Quebec,Administrative and financial supervisors and administrative occupations [12],430.34,521.74,34.7,-1.13485495,-0.47693655
0,8-1998,2,8,1998,Quebec,Administrative and financial supervisors and administrative occupations [12],446.61,541.46,33.7,-1.13485495,-0.47693655
0,8-1999,3,8,1999,Quebec,Administrative and financial supervisors and administrative occupations [12],435.65,528.18,34.5,-1.13485495,-0.47693655
0,8-2000,4,8,2000,Quebec,Administrative and financial supervisors and administrative occupations [12],453.31,549.59,34.5,-1.13485495,-0.47693655
0,8-2001,5,8,2001,Quebec,Administrative and financial supervisors and administrative occupations [12],473.39,573.93,34.3,-1.13485495,-0.47693655
0,8-2002,6,8,2002,Quebec,Administrative and financial supervisors and administrative occupations [12],476.00,577.09,33.9,-1.13485495,-0.47693655
0,8-2003,7,8,2003,Quebec,Administrative and financial supervisors and administrative occupations [12],493.23,597.98,33.5,-1.13485495,-0.47693655
0,8-2004,8,8,2004,Quebec,Administrative and financial supervisors and administrative occupations [12],514.16,623.36,33.8,-1.13485495,-0.47693655
0,8-2005,9,8,2005,Quebec,Administrative and financial supervisors and administrative occupations [12],519.42,629.74,34.2,-1.13485495,-0.47693655
0,8-2006,10,8,2006,Quebec,Administrative and financial supervisors and administrative occupations [12],532.10,645.11,33.6,-1.13485495,-0.47693655
0,8-2007,11,8,2007,Quebec,Administrative and financial supervisors and administrative occupations [12],547.23,663.45,33.6,-1.13485495,-0.47693655
0,8-2008,12,8,2008,Quebec,Administrative and financial supervisors and administrative occupations [12],578.64,701.53,33.4,-1.13485495,-0.47693655
0,8-2009,13,8,2009,Quebec,Administrative and financial supervisors and administrative occupations [12],596.80,723.55,33.4,-1.13485495,-0.47693655
0,8-2010,14,8,2010,Quebec,Administrative and financial supervisors and administrative occupations [12],596.53,723.22,33.8,-1.13485495,-0.47693655
0,8-2011,15,8,2011,Quebec,Administrative and financial supervisors and administrative occupations [12],612.72,742.85,33.7,-1.13485495,-0.47693655
0,8-2012,16,8,2012,Quebec,Administrative and financial supervisors and administrative occupations [12],618.30,749.61,34,-1.13485495,-0.47693655
0,8-2013,17,8,2013,Quebec,Administrative and financial supervisors and administrative occupations [12],635.52,770.49,34,-1.13485495,-0.47693655
0,8-2014,18,8,2014,Quebec,Administrative and financial supervisors and administrative occupations [12],665.13,806.39,33.7,-1.13485495,-0.47693655
0,8-2015,19,8,2015,Quebec,Administrative and financial supervisors and administrative occupations [12],684.38,829.73,34.2,-1.13485495,-0.47693655
0,8-2016,20,8,2016,Quebec,Administrative and financial supervisors and administrative occupations [12],702.01,851.11,34.3,-1.13485495,-0.47693655
0,8-2017,21,8,2017,Quebec,Administrative and financial supervisors and administrative occupations [12],688.88,835.18,33.6,-1.13485495,-0.47693655
0,8-2018,22,8,2018,Quebec,Administrative and financial supervisors and administrative occupations [12],724.98,878.95,33.9,-1.13485495,-0.47693655
0,9-1997,1,9,1997,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],407.00,493.44,34,-1.13485495,-0.47693655
0,9-1998,2,9,1998,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],427.62,518.44,34.8,-1.13485495,-0.47693655
0,9-1999,3,9,1999,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],426.14,516.65,35.2,-1.13485495,-0.47693655
0,9-2000,4,9,2000,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],447.24,542.23,35.6,-1.13485495,-0.47693655
0,9-2001,5,9,2001,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],440.59,534.16,34.6,-1.13485495,-0.47693655
0,9-2002,6,9,2002,Saskatchewan,Administrative and financial supervisors and administrative occupations [12],466.48,565.55,34.2,-1.13485495,-0.47693655
