year,geo,naics,hours_worked
1989,Canada,"Wholesale and retail trade		 [41, 44-45]",35.8
1990,Canada,"Wholesale and retail trade		 [41, 44-45]",35.5
1991,Canada,"Wholesale and retail trade		 [41, 44-45]",34.7
1992,Canada,"Wholesale and retail trade		 [41, 44-45]",34.5
1993,Canada,"Wholesale and retail trade		 [41, 44-45]",34.7
1994,Canada,"Wholesale and retail trade		 [41, 44-45]",34.8
1995,Canada,"Wholesale and retail trade		 [41, 44-45]",34.9
1996,Canada,"Wholesale and retail trade		 [41, 44-45]",34.9
1997,Canada,"Wholesale and retail trade		 [41, 44-45]",35.2
1998,Canada,"Wholesale and retail trade		 [41, 44-45]",34.9
1999,Canada,"Wholesale and retail trade		 [41, 44-45]",34.7
2000,Canada,"Wholesale and retail trade		 [41, 44-45]",35.1
2001,Canada,"Wholesale and retail trade		 [41, 44-45]",34.5
2002,Canada,"Wholesale and retail trade		 [41, 44-45]",34.2
2003,Canada,"Wholesale and retail trade		 [41, 44-45]",33.7
2004,Canada,"Wholesale and retail trade		 [41, 44-45]",34
2005,Canada,"Wholesale and retail trade		 [41, 44-45]",34.3
2006,Canada,"Wholesale and retail trade		 [41, 44-45]",33.9
2007,Canada,"Wholesale and retail trade		 [41, 44-45]",34
2008,Canada,"Wholesale and retail trade		 [41, 44-45]",33.7
2009,Canada,"Wholesale and retail trade		 [41, 44-45]",33
2010,Canada,"Wholesale and retail trade		 [41, 44-45]",33.2
2011,Canada,"Wholesale and retail trade		 [41, 44-45]",33.2
2012,Canada,"Wholesale and retail trade		 [41, 44-45]",33.2
2013,Canada,"Wholesale and retail trade		 [41, 44-45]",33.4
2014,Canada,"Wholesale and retail trade		 [41, 44-45]",33
2015,Canada,"Wholesale and retail trade		 [41, 44-45]",33.3
2016,Canada,"Wholesale and retail trade		 [41, 44-45]",33.4
2017,Canada,"Wholesale and retail trade		 [41, 44-45]",33.1
2018,Canada,"Wholesale and retail trade		 [41, 44-45]",33.4
2019,Canada,"Wholesale and retail trade		 [41, 44-45]",32.8
2020,Canada,"Wholesale and retail trade		 [41, 44-45]",32.9
1987,Canada,Transportation and warehousing [48-49],40.5
1988,Canada,Transportation and warehousing [48-49],40.9
1989,Canada,Transportation and warehousing [48-49],41.2
1990,Canada,Transportation and warehousing [48-49],40.7
1991,Canada,Transportation and warehousing [48-49],40.1
1992,Canada,Transportation and warehousing [48-49],39.5
1993,Canada,Transportation and warehousing [48-49],40.3
1994,Canada,Transportation and warehousing [48-49],40.9
1995,Canada,Transportation and warehousing [48-49],40.8
1996,Canada,Transportation and warehousing [48-49],40.8
1997,Canada,Transportation and warehousing [48-49],41
1998,Canada,Transportation and warehousing [48-49],41.3
1999,Canada,Transportation and warehousing [48-49],41.5
2000,Canada,Transportation and warehousing [48-49],41.6
2001,Canada,Transportation and warehousing [48-49],41.1
2002,Canada,Transportation and warehousing [48-49],41.1
2003,Canada,Transportation and warehousing [48-49],40.5
2004,Canada,Transportation and warehousing [48-49],40.9
2005,Canada,Transportation and warehousing [48-49],41
2006,Canada,Transportation and warehousing [48-49],41
2007,Canada,Transportation and warehousing [48-49],41
2008,Canada,Transportation and warehousing [48-49],40.5
2009,Canada,Transportation and warehousing [48-49],39.3
2010,Canada,Transportation and warehousing [48-49],40
2011,Canada,Transportation and warehousing [48-49],40.3
2012,Canada,Transportation and warehousing [48-49],40.2
2013,Canada,Transportation and warehousing [48-49],39.7
2014,Canada,Transportation and warehousing [48-49],40
2015,Canada,Transportation and warehousing [48-49],40.2
2016,Canada,Transportation and warehousing [48-49],39.9
2017,Canada,Transportation and warehousing [48-49],39.8
2018,Canada,Transportation and warehousing [48-49],40.1
2019,Canada,Transportation and warehousing [48-49],39.6
2020,Canada,Transportation and warehousing [48-49],39.1
1987,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.2
1988,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.5
1989,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",38.3
1990,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.8
1991,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.8
1992,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.8
1993,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.7
1994,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.2
1995,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.7
1996,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.2
1997,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.2
1998,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.9
1999,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.7
2000,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",37.4
2001,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.4
2002,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2003,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.8
2004,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36
2005,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2006,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2007,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.5
2008,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.1
2009,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.6
2010,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.9
2011,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.8
2012,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.8
2013,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2014,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.6
2015,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.1
2016,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.5
2017,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.8
2018,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2019,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.9
2020,Canada,"Finance, insurance, real estate, rental and leasing [52-53]",35.8
1987,Canada,"Professional, scientific and technical services [54]",38.8
1988,Canada,"Professional, scientific and technical services [54]",39.2
1989,Canada,"Professional, scientific and technical services [54]",39.6
1990,Canada,"Professional, scientific and technical services [54]",39.8
1991,Canada,"Professional, scientific and technical services [54]",39.1
1992,Canada,"Professional, scientific and technical services [54]",38.3
1993,Canada,"Professional, scientific and technical services [54]",38.7
1994,Canada,"Professional, scientific and technical services [54]",39.3
1995,Canada,"Professional, scientific and technical services [54]",38.8
1996,Canada,"Professional, scientific and technical services [54]",39
1997,Canada,"Professional, scientific and technical services [54]",39
1998,Canada,"Professional, scientific and technical services [54]",38.6
1999,Canada,"Professional, scientific and technical services [54]",39.2
2000,Canada,"Professional, scientific and technical services [54]",39.1
2001,Canada,"Professional, scientific and technical services [54]",38.3
2002,Canada,"Professional, scientific and technical services [54]",38.3
2003,Canada,"Professional, scientific and technical services [54]",37.2
2004,Canada,"Professional, scientific and technical services [54]",37.8
2005,Canada,"Professional, scientific and technical services [54]",38.2
2006,Canada,"Professional, scientific and technical services [54]",37.8
2007,Canada,"Professional, scientific and technical services [54]",38.2
2008,Canada,"Professional, scientific and technical services [54]",37.7
2009,Canada,"Professional, scientific and technical services [54]",36.8
2010,Canada,"Professional, scientific and technical services [54]",36.9
2011,Canada,"Professional, scientific and technical services [54]",37.4
2012,Canada,"Professional, scientific and technical services [54]",37.7
2013,Canada,"Professional, scientific and technical services [54]",37.4
2014,Canada,"Professional, scientific and technical services [54]",36.6
2015,Canada,"Professional, scientific and technical services [54]",37
2016,Canada,"Professional, scientific and technical services [54]",36.9
2017,Canada,"Professional, scientific and technical services [54]",36.7
2018,Canada,"Professional, scientific and technical services [54]",37.2
2019,Canada,"Professional, scientific and technical services [54]",36.5
2020,Canada,"Professional, scientific and technical services [54]",36.5
1987,Canada,"Business, building and other support services [55-56]",33.8
1988,Canada,"Business, building and other support services [55-56]",34.9
1989,Canada,"Business, building and other support services [55-56]",35.8
1990,Canada,"Business, building and other support services [55-56]",35.5
1991,Canada,"Business, building and other support services [55-56]",34.2
1992,Canada,"Business, building and other support services [55-56]",33.5
1993,Canada,"Business, building and other support services [55-56]",34
1994,Canada,"Business, building and other support services [55-56]",34.4
1995,Canada,"Business, building and other support services [55-56]",34.4
1996,Canada,"Business, building and other support services [55-56]",34
1997,Canada,"Business, building and other support services [55-56]",34.2
1998,Canada,"Business, building and other support services [55-56]",34.1
1999,Canada,"Business, building and other support services [55-56]",34.2
2000,Canada,"Business, building and other support services [55-56]",34.1
2001,Canada,"Business, building and other support services [55-56]",33.8
2002,Canada,"Business, building and other support services [55-56]",33.8
2003,Canada,"Business, building and other support services [55-56]",33.8
2004,Canada,"Business, building and other support services [55-56]",33.9
2005,Canada,"Business, building and other support services [55-56]",34.1
2006,Canada,"Business, building and other support services [55-56]",34.1
2007,Canada,"Business, building and other support services [55-56]",34.7
2008,Canada,"Business, building and other support services [55-56]",34.1
2009,Canada,"Business, building and other support services [55-56]",33.8
2010,Canada,"Business, building and other support services [55-56]",33.7
2011,Canada,"Business, building and other support services [55-56]",33.5
2012,Canada,"Business, building and other support services [55-56]",33.8
2013,Canada,"Business, building and other support services [55-56]",33.7
2014,Canada,"Business, building and other support services [55-56]",33.1
2015,Canada,"Business, building and other support services [55-56]",33.8
2016,Canada,"Business, building and other support services [55-56]",33.3
2017,Canada,"Business, building and other support services [55-56]",33.3
2018,Canada,"Business, building and other support services [55-56]",33.7
2019,Canada,"Business, building and other support services [55-56]",32.8
2020,Canada,"Business, building and other support services [55-56]",33.1
1987,Canada,Educational services [61],34.4
1988,Canada,Educational services [61],35.1
1989,Canada,Educational services [61],35.4
1990,Canada,Educational services [61],35
1991,Canada,Educational services [61],34.6
1992,Canada,Educational services [61],34.3
1993,Canada,Educational services [61],34
1994,Canada,Educational services [61],34.9
1995,Canada,Educational services [61],34.5
1996,Canada,Educational services [61],34.7
1997,Canada,Educational services [61],34.8
1998,Canada,Educational services [61],34.4
1999,Canada,Educational services [61],34.7
2000,Canada,Educational services [61],35.1
2001,Canada,Educational services [61],34.1
2002,Canada,Educational services [61],34.2
2003,Canada,Educational services [61],33.4
2004,Canada,Educational services [61],33.1
2005,Canada,Educational services [61],33.7
2006,Canada,Educational services [61],33.4
2007,Canada,Educational services [61],33.6
2008,Canada,Educational services [61],33.6
2009,Canada,Educational services [61],32.6
2010,Canada,Educational services [61],33
2011,Canada,Educational services [61],33.2
2012,Canada,Educational services [61],33.5
2013,Canada,Educational services [61],33
2014,Canada,Educational services [61],32.1
2015,Canada,Educational services [61],32.8
2016,Canada,Educational services [61],32.6
2017,Canada,Educational services [61],32.2
2018,Canada,Educational services [61],32.5
2019,Canada,Educational services [61],31.7
2020,Canada,Educational services [61],32.3
1987,Canada,Health care and social assistance [62],32.9
1988,Canada,Health care and social assistance [62],33.4
1989,Canada,Health care and social assistance [62],33.5
1990,Canada,Health care and social assistance [62],33.6
1991,Canada,Health care and social assistance [62],33.2
1992,Canada,Health care and social assistance [62],32.7
1993,Canada,Health care and social assistance [62],32.9
1994,Canada,Health care and social assistance [62],33
1995,Canada,Health care and social assistance [62],33
1996,Canada,Health care and social assistance [62],33.1
1997,Canada,Health care and social assistance [62],33.4
1998,Canada,Health care and social assistance [62],33.1
1999,Canada,Health care and social assistance [62],33.9
2000,Canada,Health care and social assistance [62],34.1
2001,Canada,Health care and social assistance [62],33.7
2002,Canada,Health care and social assistance [62],33.5
2003,Canada,Health care and social assistance [62],33
2004,Canada,Health care and social assistance [62],33.1
2005,Canada,Health care and social assistance [62],33.4
2006,Canada,Health care and social assistance [62],33.4
2007,Canada,Health care and social assistance [62],33.8
2008,Canada,Health care and social assistance [62],33.6
2009,Canada,Health care and social assistance [62],33.2
2010,Canada,Health care and social assistance [62],33.2
2011,Canada,Health care and social assistance [62],33.4
2012,Canada,Health care and social assistance [62],33.7
2013,Canada,Health care and social assistance [62],33.4
2014,Canada,Health care and social assistance [62],32.9
2015,Canada,Health care and social assistance [62],33.1
2016,Canada,Health care and social assistance [62],33.3
2017,Canada,Health care and social assistance [62],33.3
2018,Canada,Health care and social assistance [62],33.8
2019,Canada,Health care and social assistance [62],33.3
2020,Canada,Health care and social assistance [62],33.5
1987,Canada,"Information, culture and recreation [51, 71]",35
1988,Canada,"Information, culture and recreation [51, 71]",35.6
1989,Canada,"Information, culture and recreation [51, 71]",36
1990,Canada,"Information, culture and recreation [51, 71]",35.8
1991,Canada,"Information, culture and recreation [51, 71]",34.9
1992,Canada,"Information, culture and recreation [51, 71]",33.7
1993,Canada,"Information, culture and recreation [51, 71]",34.5
1994,Canada,"Information, culture and recreation [51, 71]",34.4
1995,Canada,"Information, culture and recreation [51, 71]",34.4
1996,Canada,"Information, culture and recreation [51, 71]",34.9
1997,Canada,"Information, culture and recreation [51, 71]",34.8
1998,Canada,"Information, culture and recreation [51, 71]",34.6
1999,Canada,"Information, culture and recreation [51, 71]",34.7
2000,Canada,"Information, culture and recreation [51, 71]",34.7
2001,Canada,"Information, culture and recreation [51, 71]",34.4
2002,Canada,"Information, culture and recreation [51, 71]",33.5
2003,Canada,"Information, culture and recreation [51, 71]",33
2004,Canada,"Information, culture and recreation [51, 71]",33.5
2005,Canada,"Information, culture and recreation [51, 71]",33.4
2006,Canada,"Information, culture and recreation [51, 71]",32.9
2007,Canada,"Information, culture and recreation [51, 71]",33.6
2008,Canada,"Information, culture and recreation [51, 71]",33.3
2009,Canada,"Information, culture and recreation [51, 71]",32.6
2010,Canada,"Information, culture and recreation [51, 71]",32.5
2011,Canada,"Information, culture and recreation [51, 71]",32.8
2012,Canada,"Information, culture and recreation [51, 71]",32.6
2013,Canada,"Information, culture and recreation [51, 71]",32.5
2014,Canada,"Information, culture and recreation [51, 71]",32
2015,Canada,"Information, culture and recreation [51, 71]",32.4
2016,Canada,"Information, culture and recreation [51, 71]",32.6
2017,Canada,"Information, culture and recreation [51, 71]",31.7
2018,Canada,"Information, culture and recreation [51, 71]",32.1
2019,Canada,"Information, culture and recreation [51, 71]",31.8
2020,Canada,"Information, culture and recreation [51, 71]",32.2
1987,Canada,Accommodation and food services [72],33.4
1988,Canada,Accommodation and food services [72],33
1989,Canada,Accommodation and food services [72],33.4
1990,Canada,Accommodation and food services [72],33
1991,Canada,Accommodation and food services [72],31.9
1992,Canada,Accommodation and food services [72],31.5
1993,Canada,Accommodation and food services [72],31.8
1994,Canada,Accommodation and food services [72],32.1
1995,Canada,Accommodation and food services [72],31.7
1996,Canada,Accommodation and food services [72],31.9
1997,Canada,Accommodation and food services [72],31.6
1998,Canada,Accommodation and food services [72],32.2
1999,Canada,Accommodation and food services [72],31.9
2000,Canada,Accommodation and food services [72],31.7
2001,Canada,Accommodation and food services [72],31.3
2002,Canada,Accommodation and food services [72],30.6
2003,Canada,Accommodation and food services [72],30.8
2004,Canada,Accommodation and food services [72],30.8
2005,Canada,Accommodation and food services [72],30.7
2006,Canada,Accommodation and food services [72],30.6
2007,Canada,Accommodation and food services [72],31
2008,Canada,Accommodation and food services [72],30.2
2009,Canada,Accommodation and food services [72],29.8
2010,Canada,Accommodation and food services [72],29.4
2011,Canada,Accommodation and food services [72],29.6
2012,Canada,Accommodation and food services [72],30
2013,Canada,Accommodation and food services [72],29.7
2014,Canada,Accommodation and food services [72],29.7
2015,Canada,Accommodation and food services [72],29.7
2016,Canada,Accommodation and food services [72],29.6
2017,Canada,Accommodation and food services [72],29.5
2018,Canada,Accommodation and food services [72],29.7
2019,Canada,Accommodation and food services [72],29.1
2020,Canada,Accommodation and food services [72],27.7
1987,Canada,Other services (except public administration) [81],35.3
1988,Canada,Other services (except public administration) [81],35.8
1989,Canada,Other services (except public administration) [81],36.5
1990,Canada,Other services (except public administration) [81],36.3
1991,Canada,Other services (except public administration) [81],35.7
1992,Canada,Other services (except public administration) [81],35.1
1993,Canada,Other services (except public administration) [81],35.2
1994,Canada,Other services (except public administration) [81],35.9
1995,Canada,Other services (except public administration) [81],35.4
1996,Canada,Other services (except public administration) [81],36
1997,Canada,Other services (except public administration) [81],36
1998,Canada,Other services (except public administration) [81],35.8
1999,Canada,Other services (except public administration) [81],35.5
2000,Canada,Other services (except public administration) [81],36
2001,Canada,Other services (except public administration) [81],35.9
2002,Canada,Other services (except public administration) [81],35.2
2003,Canada,Other services (except public administration) [81],34.5
2004,Canada,Other services (except public administration) [81],35
2005,Canada,Other services (except public administration) [81],35.5
2006,Canada,Other services (except public administration) [81],35.4
2007,Canada,Other services (except public administration) [81],35.5
2008,Canada,Other services (except public administration) [81],35.1
2009,Canada,Other services (except public administration) [81],34.4
2010,Canada,Other services (except public administration) [81],34.2
2011,Canada,Other services (except public administration) [81],35
2012,Canada,Other services (except public administration) [81],35.1
2013,Canada,Other services (except public administration) [81],35.1
2014,Canada,Other services (except public administration) [81],34.9
2015,Canada,Other services (except public administration) [81],34.5
2016,Canada,Other services (except public administration) [81],34.5
2017,Canada,Other services (except public administration) [81],34.2
2018,Canada,Other services (except public administration) [81],34.8
2019,Canada,Other services (except public administration) [81],34.1
2020,Canada,Other services (except public administration) [81],33.6
1987,Newfoundland and Labrador,Construction [23],41.2
1988,Newfoundland and Labrador,Construction [23],41.7
1989,Newfoundland and Labrador,Construction [23],43
1990,Newfoundland and Labrador,Construction [23],42.8
1991,Newfoundland and Labrador,Construction [23],42
1992,Newfoundland and Labrador,Construction [23],42.4
1993,Newfoundland and Labrador,Construction [23],43.5
1994,Newfoundland and Labrador,Construction [23],43.3
1995,Newfoundland and Labrador,Construction [23],44.8
1996,Newfoundland and Labrador,Construction [23],43
1997,Newfoundland and Labrador,Construction [23],46.2
1998,Newfoundland and Labrador,Construction [23],44.5
1999,Newfoundland and Labrador,Construction [23],45.1
2000,Newfoundland and Labrador,Construction [23],45.9
2001,Newfoundland and Labrador,Construction [23],45.9
2002,Newfoundland and Labrador,Construction [23],45.8
2003,Newfoundland and Labrador,Construction [23],46.3
2004,Newfoundland and Labrador,Construction [23],46
2005,Newfoundland and Labrador,Construction [23],46
2006,Newfoundland and Labrador,Construction [23],46.7
2007,Newfoundland and Labrador,Construction [23],48
2008,Newfoundland and Labrador,Construction [23],48.2
2009,Newfoundland and Labrador,Construction [23],47.9
2010,Newfoundland and Labrador,Construction [23],47.3
2011,Newfoundland and Labrador,Construction [23],46.9
2012,Newfoundland and Labrador,Construction [23],47.5
2013,Newfoundland and Labrador,Construction [23],48.1
2014,Newfoundland and Labrador,Construction [23],47.6
2015,Newfoundland and Labrador,Construction [23],47
2016,Newfoundland and Labrador,Construction [23],48
2017,Newfoundland and Labrador,Construction [23],47.7
2018,Newfoundland and Labrador,Construction [23],47.1
2019,Newfoundland and Labrador,Construction [23],45.2
2020,Newfoundland and Labrador,Construction [23],44.8
1987,Newfoundland and Labrador,Manufacturing [31-33],37.4
1988,Newfoundland and Labrador,Manufacturing [31-33],39.3
1989,Newfoundland and Labrador,Manufacturing [31-33],39.2
1990,Newfoundland and Labrador,Manufacturing [31-33],39.3
1991,Newfoundland and Labrador,Manufacturing [31-33],38
1992,Newfoundland and Labrador,Manufacturing [31-33],37.9
1993,Newfoundland and Labrador,Manufacturing [31-33],37.3
1994,Newfoundland and Labrador,Manufacturing [31-33],39.3
1995,Newfoundland and Labrador,Manufacturing [31-33],39.9
1996,Newfoundland and Labrador,Manufacturing [31-33],40.7
1997,Newfoundland and Labrador,Manufacturing [31-33],40.4
1998,Newfoundland and Labrador,Manufacturing [31-33],41
1999,Newfoundland and Labrador,Manufacturing [31-33],40
2000,Newfoundland and Labrador,Manufacturing [31-33],40.1
2001,Newfoundland and Labrador,Manufacturing [31-33],40.6
2002,Newfoundland and Labrador,Manufacturing [31-33],40.8
2003,Newfoundland and Labrador,Manufacturing [31-33],40.6
2004,Newfoundland and Labrador,Manufacturing [31-33],41.3
2005,Newfoundland and Labrador,Manufacturing [31-33],42.6
2006,Newfoundland and Labrador,Manufacturing [31-33],41.1
2007,Newfoundland and Labrador,Manufacturing [31-33],43.8
2008,Newfoundland and Labrador,Manufacturing [31-33],43.5
2009,Newfoundland and Labrador,Manufacturing [31-33],39.5
2010,Newfoundland and Labrador,Manufacturing [31-33],42.3
2011,Newfoundland and Labrador,Manufacturing [31-33],42
2012,Newfoundland and Labrador,Manufacturing [31-33],42.1
2013,Newfoundland and Labrador,Manufacturing [31-33],42.1
2014,Newfoundland and Labrador,Manufacturing [31-33],42.8
2015,Newfoundland and Labrador,Manufacturing [31-33],43.3
2016,Newfoundland and Labrador,Manufacturing [31-33],42.7
2017,Newfoundland and Labrador,Manufacturing [31-33],41.1
2018,Newfoundland and Labrador,Manufacturing [31-33],41.9
2019,Newfoundland and Labrador,Manufacturing [31-33],42.5
2020,Newfoundland and Labrador,Manufacturing [31-33],40.6
1987,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.4
1988,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",37
1989,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.1
1990,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.7
1991,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.7
1992,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.4
1993,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.4
1994,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.4
1995,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34.5
1996,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.5
1997,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.2
1998,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.4
1999,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",36.7
2000,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.1
2001,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.9
2002,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.6
2003,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35
2004,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.6
2005,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35
2006,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.4
2007,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",35.8
2008,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34.7
2009,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34.2
2010,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34
2011,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.6
2012,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34.2
2013,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",34.1
2014,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.4
2015,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.5
2016,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.3
2017,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.5
2018,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.9
2019,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33.6
2020,Newfoundland and Labrador,"Wholesale and retail trade		 [41, 44-45]",33
1987,Newfoundland and Labrador,Transportation and warehousing [48-49],41
1988,Newfoundland and Labrador,Transportation and warehousing [48-49],42.1
1989,Newfoundland and Labrador,Transportation and warehousing [48-49],41.2
1990,Newfoundland and Labrador,Transportation and warehousing [48-49],41.4
1991,Newfoundland and Labrador,Transportation and warehousing [48-49],40.2
1992,Newfoundland and Labrador,Transportation and warehousing [48-49],42.2
1993,Newfoundland and Labrador,Transportation and warehousing [48-49],41.7
1994,Newfoundland and Labrador,Transportation and warehousing [48-49],41
1995,Newfoundland and Labrador,Transportation and warehousing [48-49],39.6
1996,Newfoundland and Labrador,Transportation and warehousing [48-49],39.2
1997,Newfoundland and Labrador,Transportation and warehousing [48-49],39.6
1998,Newfoundland and Labrador,Transportation and warehousing [48-49],41.1
1999,Newfoundland and Labrador,Transportation and warehousing [48-49],44.1
2000,Newfoundland and Labrador,Transportation and warehousing [48-49],44.5
2001,Newfoundland and Labrador,Transportation and warehousing [48-49],43.7
2002,Newfoundland and Labrador,Transportation and warehousing [48-49],42.8
2003,Newfoundland and Labrador,Transportation and warehousing [48-49],43.3
2004,Newfoundland and Labrador,Transportation and warehousing [48-49],42.3
2005,Newfoundland and Labrador,Transportation and warehousing [48-49],42.8
2006,Newfoundland and Labrador,Transportation and warehousing [48-49],43.8
