year,geo,occ,wage_rate
2018,Newfoundland and Labrador,Management occupations [0],1578.93
1997,Newfoundland and Labrador,Senior management occupations [00],788.4
1998,Newfoundland and Labrador,Senior management occupations [00],880.86
1999,Newfoundland and Labrador,Senior management occupations [00],892.69
2000,Newfoundland and Labrador,Senior management occupations [00],925.11
2001,Newfoundland and Labrador,Senior management occupations [00],1007.82
2002,Newfoundland and Labrador,Senior management occupations [00],1256.88
2003,Newfoundland and Labrador,Senior management occupations [00],875.72
2004,Newfoundland and Labrador,Senior management occupations [00],1004.78
2005,Newfoundland and Labrador,Senior management occupations [00],1157.47
2006,Newfoundland and Labrador,Senior management occupations [00],1224.24
2007,Newfoundland and Labrador,Senior management occupations [00],1194.63
2008,Newfoundland and Labrador,Senior management occupations [00],1226.83
2009,Newfoundland and Labrador,Senior management occupations [00],1359.22
2010,Newfoundland and Labrador,Senior management occupations [00],1490.36
2011,Newfoundland and Labrador,Senior management occupations [00],1513.41
2012,Newfoundland and Labrador,Senior management occupations [00],1494.98
2013,Newfoundland and Labrador,Senior management occupations [00],1578.47
2014,Newfoundland and Labrador,Senior management occupations [00],1855.05
2015,Newfoundland and Labrador,Senior management occupations [00],
2016,Newfoundland and Labrador,Senior management occupations [00],
2017,Newfoundland and Labrador,Senior management occupations [00],
2018,Newfoundland and Labrador,Senior management occupations [00],
1997,Newfoundland and Labrador,Specialized middle management occupations [01-05],806.44
1998,Newfoundland and Labrador,Specialized middle management occupations [01-05],789.57
1999,Newfoundland and Labrador,Specialized middle management occupations [01-05],834.19
2000,Newfoundland and Labrador,Specialized middle management occupations [01-05],907.65
2001,Newfoundland and Labrador,Specialized middle management occupations [01-05],956.74
2002,Newfoundland and Labrador,Specialized middle management occupations [01-05],995.27
2003,Newfoundland and Labrador,Specialized middle management occupations [01-05],1059.84
2004,Newfoundland and Labrador,Specialized middle management occupations [01-05],1057.22
2005,Newfoundland and Labrador,Specialized middle management occupations [01-05],1144.09
2006,Newfoundland and Labrador,Specialized middle management occupations [01-05],1107.85
2007,Newfoundland and Labrador,Specialized middle management occupations [01-05],1098.54
2008,Newfoundland and Labrador,Specialized middle management occupations [01-05],1229.16
2009,Newfoundland and Labrador,Specialized middle management occupations [01-05],1226.58
2010,Newfoundland and Labrador,Specialized middle management occupations [01-05],1262.56
2011,Newfoundland and Labrador,Specialized middle management occupations [01-05],1409.35
2012,Newfoundland and Labrador,Specialized middle management occupations [01-05],1468.92
2013,Newfoundland and Labrador,Specialized middle management occupations [01-05],1576.97
2014,Newfoundland and Labrador,Specialized middle management occupations [01-05],1570.96
2015,Newfoundland and Labrador,Specialized middle management occupations [01-05],1618.61
2016,Newfoundland and Labrador,Specialized middle management occupations [01-05],1630.27
2017,Newfoundland and Labrador,Specialized middle management occupations [01-05],1600.17
2018,Newfoundland and Labrador,Specialized middle management occupations [01-05],1778.84
1997,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],577.13
1998,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],523.38
1999,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],553.6
2000,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],582.15
2001,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],665.73
2002,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],697.34
2003,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],695.24
2004,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],692.35
2005,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],661.74
2006,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],645.85
2007,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],763.73
2008,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],812.58
2009,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],751.24
2010,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],819.31
2011,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],923.96
2012,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],956.44
2013,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1071.04
2014,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1064.59
2015,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1167.64
2016,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1239.68
2017,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1087.02
2018,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services [06],1227.83
1997,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",924.42
1998,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",775.28
1999,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",763.71
2000,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",775.53
2001,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1061.49
2002,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1042.91
2003,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",921.39
2004,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",946.66
2005,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",982.61
2006,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1128.27
2007,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1121.08
2008,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1322.91
2009,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1197.81
2010,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1339.93
2011,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1320.25
2012,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1388.19
2013,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1620.08
2014,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1396.91
2015,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1637.62
2016,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1653.15
2017,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1745.05
2018,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities [07-09]",1588.02
1997,Newfoundland and Labrador,"Business, finance and administration occupations [1]",460.68
1998,Newfoundland and Labrador,"Business, finance and administration occupations [1]",470.77
1999,Newfoundland and Labrador,"Business, finance and administration occupations [1]",467.73
2000,Newfoundland and Labrador,"Business, finance and administration occupations [1]",493.36
2001,Newfoundland and Labrador,"Business, finance and administration occupations [1]",518.06
2002,Newfoundland and Labrador,"Business, finance and administration occupations [1]",570.55
2003,Newfoundland and Labrador,"Business, finance and administration occupations [1]",552.82
2004,Newfoundland and Labrador,"Business, finance and administration occupations [1]",565.69
2005,Newfoundland and Labrador,"Business, finance and administration occupations [1]",561.68
2006,Newfoundland and Labrador,"Business, finance and administration occupations [1]",610.87
2007,Newfoundland and Labrador,"Business, finance and administration occupations [1]",617.95
2008,Newfoundland and Labrador,"Business, finance and administration occupations [1]",645.63
2009,Newfoundland and Labrador,"Business, finance and administration occupations [1]",677.49
2010,Newfoundland and Labrador,"Business, finance and administration occupations [1]",708.39
2011,Newfoundland and Labrador,"Business, finance and administration occupations [1]",746.57
2012,Newfoundland and Labrador,"Business, finance and administration occupations [1]",794.19
2013,Newfoundland and Labrador,"Business, finance and administration occupations [1]",818.58
2014,Newfoundland and Labrador,"Business, finance and administration occupations [1]",898.06
2015,Newfoundland and Labrador,"Business, finance and administration occupations [1]",843.61
2016,Newfoundland and Labrador,"Business, finance and administration occupations [1]",917.21
2017,Newfoundland and Labrador,"Business, finance and administration occupations [1]",910.35
2018,Newfoundland and Labrador,"Business, finance and administration occupations [1]",933.54
1997,Newfoundland and Labrador,Professional occupations in business and finance [11],685.15
1998,Newfoundland and Labrador,Professional occupations in business and finance [11],755.7
1999,Newfoundland and Labrador,Professional occupations in business and finance [11],662.16
2000,Newfoundland and Labrador,Professional occupations in business and finance [11],697.66
2001,Newfoundland and Labrador,Professional occupations in business and finance [11],795.27
2002,Newfoundland and Labrador,Professional occupations in business and finance [11],864.55
2003,Newfoundland and Labrador,Professional occupations in business and finance [11],790.95
2004,Newfoundland and Labrador,Professional occupations in business and finance [11],786.24
2005,Newfoundland and Labrador,Professional occupations in business and finance [11],861.55
2006,Newfoundland and Labrador,Professional occupations in business and finance [11],866.87
2007,Newfoundland and Labrador,Professional occupations in business and finance [11],944.52
2008,Newfoundland and Labrador,Professional occupations in business and finance [11],992.86
2009,Newfoundland and Labrador,Professional occupations in business and finance [11],1065.66
2010,Newfoundland and Labrador,Professional occupations in business and finance [11],997.35
2011,Newfoundland and Labrador,Professional occupations in business and finance [11],1066.09
2012,Newfoundland and Labrador,Professional occupations in business and finance [11],1241.14
2013,Newfoundland and Labrador,Professional occupations in business and finance [11],1219.85
2014,Newfoundland and Labrador,Professional occupations in business and finance [11],1297.1
2015,Newfoundland and Labrador,Professional occupations in business and finance [11],1306.55
2016,Newfoundland and Labrador,Professional occupations in business and finance [11],1255.7
2017,Newfoundland and Labrador,Professional occupations in business and finance [11],1264.65
2018,Newfoundland and Labrador,Professional occupations in business and finance [11],1264.55
1997,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],496.32
1998,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],491.91
1999,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],471.84
2000,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],512.75
2001,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],534.95
2002,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],585.44
2003,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],570.55
2004,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],568.69
2005,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],572.32
2006,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],592.85
2007,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],599.29
2008,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],654.11
2009,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],672.77
2010,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],741.74
2011,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],773.11
2012,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],770.74
2013,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],800.32
2014,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],884.33
2015,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],856.72
2016,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],970.4
2017,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],930.86
2018,Newfoundland and Labrador,Administrative and financial supervisors and administrative occupations [12],961.51
1997,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",464.73
1998,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",321.45
1999,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",453.14
2000,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",437.99
2001,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",452.42
2002,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",668.32
2003,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",485.51
2004,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",488.05
2005,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",538.72
2006,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",570.09
2007,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",574.39
2008,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",540.43
2009,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",573.87
2010,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",674.65
2011,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",614.33
2012,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",817.03
2013,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",769.15
2014,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",781.49
2015,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",724.48
2016,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",913.81
2017,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",805.54
2018,Newfoundland and Labrador,"Finance, insurance and related business administrative occupations [13]",937.86
1997,Newfoundland and Labrador,Office support occupations [14],385.21
1998,Newfoundland and Labrador,Office support occupations [14],406.57
1999,Newfoundland and Labrador,Office support occupations [14],418.52
2000,Newfoundland and Labrador,Office support occupations [14],432.85
2001,Newfoundland and Labrador,Office support occupations [14],459.73
2002,Newfoundland and Labrador,Office support occupations [14],493.21
2003,Newfoundland and Labrador,Office support occupations [14],485.73
2004,Newfoundland and Labrador,Office support occupations [14],518.23
2005,Newfoundland and Labrador,Office support occupations [14],500.42
2006,Newfoundland and Labrador,Office support occupations [14],534.7
2007,Newfoundland and Labrador,Office support occupations [14],545.88
2008,Newfoundland and Labrador,Office support occupations [14],544.79
2009,Newfoundland and Labrador,Office support occupations [14],566.28
2010,Newfoundland and Labrador,Office support occupations [14],613.89
2011,Newfoundland and Labrador,Office support occupations [14],653.1
2012,Newfoundland and Labrador,Office support occupations [14],649.77
2013,Newfoundland and Labrador,Office support occupations [14],702.48
2014,Newfoundland and Labrador,Office support occupations [14],745.75
2015,Newfoundland and Labrador,Office support occupations [14],701.35
2016,Newfoundland and Labrador,Office support occupations [14],728.58
2017,Newfoundland and Labrador,Office support occupations [14],730.24
2018,Newfoundland and Labrador,Office support occupations [14],750.19
1997,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",375.49
1998,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",412.45
1999,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",450.82
2000,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",470.06
2001,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",489.94
2002,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",442.74
2003,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",516.69
2004,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",544.19
2005,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",480.15
2006,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",544.32
2007,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",520.82
2008,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",623.03
2009,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",561.71
2010,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",658.14
2011,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",687.02
2012,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",693.24
2013,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",713.77
2014,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",756.72
2015,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",791.46
2016,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",849.34
2017,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",867.73
2018,Newfoundland and Labrador,"Distribution, tracking and scheduling co-ordination occupations [15]",755.06
1997,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],760.71
1998,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],712.45
1999,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],732.64
2000,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],810.51
2001,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],868.79
2002,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],898.93
2003,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],922.76
2004,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],940.29
2005,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],946.87
2006,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1022.58
2007,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1000.71
2008,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1129.82
2009,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1185.9
2010,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1239.34
2011,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1301.46
2012,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1340.87
2013,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1455.69
2014,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1420.84
2015,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1466.72
2016,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1477.58
2017,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1451.26
2018,Newfoundland and Labrador,Natural and applied sciences and related occupations [2],1458.27
1997,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],848.98
1998,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],789.67
1999,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],800.24
2000,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],865.88
2001,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],952.99
2002,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],949.49
2003,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1083.88
2004,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1046.45
2005,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1146.65
2006,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1196.26
2007,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1117.16
2008,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1312.01
2009,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1226.76
2010,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1370.3
2011,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1405.91
2012,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1434.39
2013,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1612.56
2014,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1499.2
2015,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1526.84
2016,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1616.99
2017,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1507.77
2018,Newfoundland and Labrador,Professional occupations in natural and applied sciences [21],1576.79
1997,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],710.57
1998,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],663.26
1999,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],693.09
2000,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],770.83
2001,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],814.66
2002,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],859.99
2003,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],825.64
2004,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],876.96
2005,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],860.61
2006,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],918.87
2007,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],926.07
2008,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1016.7
2009,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1165.63
2010,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1141.08
2011,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1233.51
2012,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1278.05
2013,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1339.36
2014,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1350.32
2015,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1423.65
2016,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1393.13
2017,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1416.81
2018,Newfoundland and Labrador,Technical occupations related to natural and applied sciences [22],1367.89
1997,Newfoundland and Labrador,Health occupations [3],534.87
1998,Newfoundland and Labrador,Health occupations [3],574.22
1999,Newfoundland and Labrador,Health occupations [3],547.41
2000,Newfoundland and Labrador,Health occupations [3],569.38
2001,Newfoundland and Labrador,Health occupations [3],610.71
2002,Newfoundland and Labrador,Health occupations [3],626.71
2003,Newfoundland and Labrador,Health occupations [3],696.21
2004,Newfoundland and Labrador,Health occupations [3],675.27
2005,Newfoundland and Labrador,Health occupations [3],729.09
2006,Newfoundland and Labrador,Health occupations [3],791.19
2007,Newfoundland and Labrador,Health occupations [3],817.08
2008,Newfoundland and Labrador,Health occupations [3],810.12
2009,Newfoundland and Labrador,Health occupations [3],839.14
2010,Newfoundland and Labrador,Health occupations [3],897.11
2011,Newfoundland and Labrador,Health occupations [3],962.02
2012,Newfoundland and Labrador,Health occupations [3],1006.67
2013,Newfoundland and Labrador,Health occupations [3],1040.22
2014,Newfoundland and Labrador,Health occupations [3],1045.67
2015,Newfoundland and Labrador,Health occupations [3],1082.54
2016,Newfoundland and Labrador,Health occupations [3],1027.69
2017,Newfoundland and Labrador,Health occupations [3],1130.05
2018,Newfoundland and Labrador,Health occupations [3],1075.63
1997,Newfoundland and Labrador,Professional occupations in nursing [30],606.86
1998,Newfoundland and Labrador,Professional occupations in nursing [30],641.48
1999,Newfoundland and Labrador,Professional occupations in nursing [30],639.05
2000,Newfoundland and Labrador,Professional occupations in nursing [30],704.24
2001,Newfoundland and Labrador,Professional occupations in nursing [30],752.17
2002,Newfoundland and Labrador,Professional occupations in nursing [30],763.57
2003,Newfoundland and Labrador,Professional occupations in nursing [30],880.51
2004,Newfoundland and Labrador,Professional occupations in nursing [30],880.28
2005,Newfoundland and Labrador,Professional occupations in nursing [30],911.47
2006,Newfoundland and Labrador,Professional occupations in nursing [30],951.58
2007,Newfoundland and Labrador,Professional occupations in nursing [30],992.54
2008,Newfoundland and Labrador,Professional occupations in nursing [30],988.87
2009,Newfoundland and Labrador,Professional occupations in nursing [30],1048.22
2010,Newfoundland and Labrador,Professional occupations in nursing [30],1192.01
2011,Newfoundland and Labrador,Professional occupations in nursing [30],1233.56
2012,Newfoundland and Labrador,Professional occupations in nursing [30],1230.1
2013,Newfoundland and Labrador,Professional occupations in nursing [30],1269.88
2014,Newfoundland and Labrador,Professional occupations in nursing [30],1215.8
2015,Newfoundland and Labrador,Professional occupations in nursing [30],1322.15
2016,Newfoundland and Labrador,Professional occupations in nursing [30],1367.78
2017,Newfoundland and Labrador,Professional occupations in nursing [30],1413.35
2018,Newfoundland and Labrador,Professional occupations in nursing [30],1347.5
1997,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],764.46
1998,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],744.39
1999,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],750.84
2000,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],813.05
2001,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],815.09
2002,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],822.67
2003,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],951.16
2004,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],907.4
2005,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],971.14
2006,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1134.13
2007,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1096.79
2008,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1200.32
2009,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1257.29
2010,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1174.15
2011,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1289.79
2012,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1401.67
2013,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1337.03
2014,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1507.04
