year,geo,naics,wage_rate
2019,Nova Scotia,Accommodation and food services [72],1057.23
2020,Nova Scotia,Accommodation and food services [72],1104.39
1997,Ontario,Accommodation and food services [72],530.3
1998,Ontario,Accommodation and food services [72],573.21
1999,Ontario,Accommodation and food services [72],560
2000,Ontario,Accommodation and food services [72],577.02
2001,Ontario,Accommodation and food services [72],573.58
2002,Ontario,Accommodation and food services [72],600.54
2003,Ontario,Accommodation and food services [72],606.62
2004,Ontario,Accommodation and food services [72],591.26
2005,Ontario,Accommodation and food services [72],657.52
2006,Ontario,Accommodation and food services [72],670.34
2007,Ontario,Accommodation and food services [72],716.48
2008,Ontario,Accommodation and food services [72],722.87
2009,Ontario,Accommodation and food services [72],730.51
2010,Ontario,Accommodation and food services [72],761.72
2011,Ontario,Accommodation and food services [72],766.13
2012,Ontario,Accommodation and food services [72],789.22
2013,Ontario,Accommodation and food services [72],802.51
2014,Ontario,Accommodation and food services [72],832.27
2015,Ontario,Accommodation and food services [72],827.03
2016,Ontario,Accommodation and food services [72],789.86
2017,Ontario,Accommodation and food services [72],756.16
2018,Ontario,Accommodation and food services [72],800.01
2019,Ontario,Accommodation and food services [72],868.75
2020,Ontario,Accommodation and food services [72],889.95
1997,Prince Edward Island,Accommodation and food services [72],633.77
1998,Prince Edward Island,Accommodation and food services [72],661.94
1999,Prince Edward Island,Accommodation and food services [72],701.7
2000,Prince Edward Island,Accommodation and food services [72],706.69
2001,Prince Edward Island,Accommodation and food services [72],721.95
2002,Prince Edward Island,Accommodation and food services [72],791.79
2003,Prince Edward Island,Accommodation and food services [72],769.91
2004,Prince Edward Island,Accommodation and food services [72],785.08
2005,Prince Edward Island,Accommodation and food services [72],855.94
2006,Prince Edward Island,Accommodation and food services [72],909.61
2007,Prince Edward Island,Accommodation and food services [72],932.35
2008,Prince Edward Island,Accommodation and food services [72],982.12
2009,Prince Edward Island,Accommodation and food services [72],1023.5
2010,Prince Edward Island,Accommodation and food services [72],1032.19
2011,Prince Edward Island,Accommodation and food services [72],1030.51
2012,Prince Edward Island,Accommodation and food services [72],1082.16
2013,Prince Edward Island,Accommodation and food services [72],1141.4
2014,Prince Edward Island,Accommodation and food services [72],1162.44
2015,Prince Edward Island,Accommodation and food services [72],1167.98
2016,Prince Edward Island,Accommodation and food services [72],1223.39
2017,Prince Edward Island,Accommodation and food services [72],1250.85
2018,Prince Edward Island,Accommodation and food services [72],1228.95
2019,Prince Edward Island,Accommodation and food services [72],1275.32
2020,Prince Edward Island,Accommodation and food services [72],1290.42
1997,Quebec,Accommodation and food services [72],463.56
1998,Quebec,Accommodation and food services [72],493.74
1999,Quebec,Accommodation and food services [72],479.22
2000,Quebec,Accommodation and food services [72],523.7
2001,Quebec,Accommodation and food services [72],541.23
2002,Quebec,Accommodation and food services [72],582.63
2003,Quebec,Accommodation and food services [72],548.25
2004,Quebec,Accommodation and food services [72],581.97
2005,Quebec,Accommodation and food services [72],620.63
2006,Quebec,Accommodation and food services [72],667.06
2007,Quebec,Accommodation and food services [72],741.62
2008,Quebec,Accommodation and food services [72],749.83
2009,Quebec,Accommodation and food services [72],816.45
2010,Quebec,Accommodation and food services [72],818.53
2011,Quebec,Accommodation and food services [72],832.19
2012,Quebec,Accommodation and food services [72],811.92
2013,Quebec,Accommodation and food services [72],856.98
2014,Quebec,Accommodation and food services [72],917.47
2015,Quebec,Accommodation and food services [72],942.78
2016,Quebec,Accommodation and food services [72],907.01
2017,Quebec,Accommodation and food services [72],877.09
2018,Quebec,Accommodation and food services [72],973.81
2019,Quebec,Accommodation and food services [72],981.87
2020,Quebec,Accommodation and food services [72],1063.65
1997,Saskatchewan,Accommodation and food services [72],705.79
1998,Saskatchewan,Accommodation and food services [72],757.26
1999,Saskatchewan,Accommodation and food services [72],793.98
2000,Saskatchewan,Accommodation and food services [72],821.35
2001,Saskatchewan,Accommodation and food services [72],853.21
2002,Saskatchewan,Accommodation and food services [72],850.6
2003,Saskatchewan,Accommodation and food services [72],871.78
2004,Saskatchewan,Accommodation and food services [72],904.53
2005,Saskatchewan,Accommodation and food services [72],1010.19
2006,Saskatchewan,Accommodation and food services [72],1048.27
2007,Saskatchewan,Accommodation and food services [72],1086.92
2008,Saskatchewan,Accommodation and food services [72],1121.85
2009,Saskatchewan,Accommodation and food services [72],1195.14
2010,Saskatchewan,Accommodation and food services [72],1202.62
2011,Saskatchewan,Accommodation and food services [72],1258.96
2012,Saskatchewan,Accommodation and food services [72],1292.57
2013,Saskatchewan,Accommodation and food services [72],1381.43
2014,Saskatchewan,Accommodation and food services [72],1350.13
2015,Saskatchewan,Accommodation and food services [72],1426.31
2016,Saskatchewan,Accommodation and food services [72],1434.02
2017,Saskatchewan,Accommodation and food services [72],1336.67
2018,Saskatchewan,Accommodation and food services [72],1421.86
2019,Saskatchewan,Accommodation and food services [72],1487.04
2020,Saskatchewan,Accommodation and food services [72],1490.65
1997,Alberta,"Business, building and other support services [55-56]",660.04
1998,Alberta,"Business, building and other support services [55-56]",664.95
1999,Alberta,"Business, building and other support services [55-56]",674.68
2000,Alberta,"Business, building and other support services [55-56]",757.8
2001,Alberta,"Business, building and other support services [55-56]",735.16
2002,Alberta,"Business, building and other support services [55-56]",755.95
2003,Alberta,"Business, building and other support services [55-56]",794.6
2004,Alberta,"Business, building and other support services [55-56]",804.15
2005,Alberta,"Business, building and other support services [55-56]",805.53
2006,Alberta,"Business, building and other support services [55-56]",894.44
2007,Alberta,"Business, building and other support services [55-56]",937.19
2008,Alberta,"Business, building and other support services [55-56]",963.6
2009,Alberta,"Business, building and other support services [55-56]",1026.84
2010,Alberta,"Business, building and other support services [55-56]",1006.3
2011,Alberta,"Business, building and other support services [55-56]",1053.15
2012,Alberta,"Business, building and other support services [55-56]",1108.67
2013,Alberta,"Business, building and other support services [55-56]",1191.25
2014,Alberta,"Business, building and other support services [55-56]",1159.59
2015,Alberta,"Business, building and other support services [55-56]",1172.18
2016,Alberta,"Business, building and other support services [55-56]",1129.86
2017,Alberta,"Business, building and other support services [55-56]",1239.18
2018,Alberta,"Business, building and other support services [55-56]",1305.27
2019,Alberta,"Business, building and other support services [55-56]",1308.21
2020,Alberta,"Business, building and other support services [55-56]",1318.08
1997,British Columbia,"Business, building and other support services [55-56]",427.25
1998,British Columbia,"Business, building and other support services [55-56]",434.36
1999,British Columbia,"Business, building and other support services [55-56]",460.34
2000,British Columbia,"Business, building and other support services [55-56]",481.48
2001,British Columbia,"Business, building and other support services [55-56]",514.51
2002,British Columbia,"Business, building and other support services [55-56]",513.08
2003,British Columbia,"Business, building and other support services [55-56]",526.46
2004,British Columbia,"Business, building and other support services [55-56]",541.28
2005,British Columbia,"Business, building and other support services [55-56]",559.35
2006,British Columbia,"Business, building and other support services [55-56]",596.49
2007,British Columbia,"Business, building and other support services [55-56]",651.24
2008,British Columbia,"Business, building and other support services [55-56]",674.09
2009,British Columbia,"Business, building and other support services [55-56]",665.61
2010,British Columbia,"Business, building and other support services [55-56]",689.42
2011,British Columbia,"Business, building and other support services [55-56]",714.36
2012,British Columbia,"Business, building and other support services [55-56]",727.36
2013,British Columbia,"Business, building and other support services [55-56]",762.95
2014,British Columbia,"Business, building and other support services [55-56]",776.83
2015,British Columbia,"Business, building and other support services [55-56]",816.65
2016,British Columbia,"Business, building and other support services [55-56]",800.77
2017,British Columbia,"Business, building and other support services [55-56]",842.9
2018,British Columbia,"Business, building and other support services [55-56]",857.92
2019,British Columbia,"Business, building and other support services [55-56]",875.77
2020,British Columbia,"Business, building and other support services [55-56]",898.6
1997,Manitoba,"Business, building and other support services [55-56]",315.56
1998,Manitoba,"Business, building and other support services [55-56]",328.34
1999,Manitoba,"Business, building and other support services [55-56]",318.52
2000,Manitoba,"Business, building and other support services [55-56]",338.88
2001,Manitoba,"Business, building and other support services [55-56]",344.16
2002,Manitoba,"Business, building and other support services [55-56]",334.87
2003,Manitoba,"Business, building and other support services [55-56]",350.46
2004,Manitoba,"Business, building and other support services [55-56]",362.46
2005,Manitoba,"Business, building and other support services [55-56]",384.94
2006,Manitoba,"Business, building and other support services [55-56]",373.08
2007,Manitoba,"Business, building and other support services [55-56]",392.57
2008,Manitoba,"Business, building and other support services [55-56]",391.18
2009,Manitoba,"Business, building and other support services [55-56]",392.82
2010,Manitoba,"Business, building and other support services [55-56]",396.27
2011,Manitoba,"Business, building and other support services [55-56]",405.65
2012,Manitoba,"Business, building and other support services [55-56]",442.61
2013,Manitoba,"Business, building and other support services [55-56]",427.21
2014,Manitoba,"Business, building and other support services [55-56]",462.09
2015,Manitoba,"Business, building and other support services [55-56]",459.23
2016,Manitoba,"Business, building and other support services [55-56]",456.22
2017,Manitoba,"Business, building and other support services [55-56]",462.94
2018,Manitoba,"Business, building and other support services [55-56]",482.29
2019,Manitoba,"Business, building and other support services [55-56]",521.13
2020,Manitoba,"Business, building and other support services [55-56]",561.24
1997,New Brunswick,"Business, building and other support services [55-56]",414.94
1998,New Brunswick,"Business, building and other support services [55-56]",420.84
1999,New Brunswick,"Business, building and other support services [55-56]",441.95
2000,New Brunswick,"Business, building and other support services [55-56]",451.92
2001,New Brunswick,"Business, building and other support services [55-56]",508.48
2002,New Brunswick,"Business, building and other support services [55-56]",497.85
2003,New Brunswick,"Business, building and other support services [55-56]",494.47
2004,New Brunswick,"Business, building and other support services [55-56]",537.65
2005,New Brunswick,"Business, building and other support services [55-56]",555.79
2006,New Brunswick,"Business, building and other support services [55-56]",543.36
2007,New Brunswick,"Business, building and other support services [55-56]",582.96
2008,New Brunswick,"Business, building and other support services [55-56]",617.96
2009,New Brunswick,"Business, building and other support services [55-56]",663.37
2010,New Brunswick,"Business, building and other support services [55-56]",652.13
2011,New Brunswick,"Business, building and other support services [55-56]",646.89
2012,New Brunswick,"Business, building and other support services [55-56]",650.84
2013,New Brunswick,"Business, building and other support services [55-56]",659.94
2014,New Brunswick,"Business, building and other support services [55-56]",677.91
2015,New Brunswick,"Business, building and other support services [55-56]",720.58
2016,New Brunswick,"Business, building and other support services [55-56]",643.76
2017,New Brunswick,"Business, building and other support services [55-56]",737.15
2018,New Brunswick,"Business, building and other support services [55-56]",776.65
2019,New Brunswick,"Business, building and other support services [55-56]",760.95
2020,New Brunswick,"Business, building and other support services [55-56]",858.71
1997,Newfoundland and Labrador,"Business, building and other support services [55-56]",684.15
1998,Newfoundland and Labrador,"Business, building and other support services [55-56]",728.45
1999,Newfoundland and Labrador,"Business, building and other support services [55-56]",706.18
2000,Newfoundland and Labrador,"Business, building and other support services [55-56]",737.7
2001,Newfoundland and Labrador,"Business, building and other support services [55-56]",786.19
2002,Newfoundland and Labrador,"Business, building and other support services [55-56]",777.83
2003,Newfoundland and Labrador,"Business, building and other support services [55-56]",780.05
2004,Newfoundland and Labrador,"Business, building and other support services [55-56]",785.53
2005,Newfoundland and Labrador,"Business, building and other support services [55-56]",779.79
2006,Newfoundland and Labrador,"Business, building and other support services [55-56]",824.05
2007,Newfoundland and Labrador,"Business, building and other support services [55-56]",871.93
2008,Newfoundland and Labrador,"Business, building and other support services [55-56]",908.66
2009,Newfoundland and Labrador,"Business, building and other support services [55-56]",975.07
2010,Newfoundland and Labrador,"Business, building and other support services [55-56]",982.76
2011,Newfoundland and Labrador,"Business, building and other support services [55-56]",1008.67
2012,Newfoundland and Labrador,"Business, building and other support services [55-56]",1014.96
2013,Newfoundland and Labrador,"Business, building and other support services [55-56]",1075.36
2014,Newfoundland and Labrador,"Business, building and other support services [55-56]",1087.27
2015,Newfoundland and Labrador,"Business, building and other support services [55-56]",1081.03
2016,Newfoundland and Labrador,"Business, building and other support services [55-56]",1099.04
2017,Newfoundland and Labrador,"Business, building and other support services [55-56]",1144.83
2018,Newfoundland and Labrador,"Business, building and other support services [55-56]",1141.56
2019,Newfoundland and Labrador,"Business, building and other support services [55-56]",1197.83
2020,Newfoundland and Labrador,"Business, building and other support services [55-56]",1197.45
1997,Nova Scotia,"Business, building and other support services [55-56]",738.18
1998,Nova Scotia,"Business, building and other support services [55-56]",724.93
1999,Nova Scotia,"Business, building and other support services [55-56]",737.97
2000,Nova Scotia,"Business, building and other support services [55-56]",766.19
2001,Nova Scotia,"Business, building and other support services [55-56]",744.77
2002,Nova Scotia,"Business, building and other support services [55-56]",777.01
2003,Nova Scotia,"Business, building and other support services [55-56]",791.55
2004,Nova Scotia,"Business, building and other support services [55-56]",826.2
2005,Nova Scotia,"Business, building and other support services [55-56]",852.7
2006,Nova Scotia,"Business, building and other support services [55-56]",849.65
2007,Nova Scotia,"Business, building and other support services [55-56]",845.41
2008,Nova Scotia,"Business, building and other support services [55-56]",900
2009,Nova Scotia,"Business, building and other support services [55-56]",869.97
2010,Nova Scotia,"Business, building and other support services [55-56]",927.3
2011,Nova Scotia,"Business, building and other support services [55-56]",959.62
2012,Nova Scotia,"Business, building and other support services [55-56]",972.66
2013,Nova Scotia,"Business, building and other support services [55-56]",972.23
2014,Nova Scotia,"Business, building and other support services [55-56]",969.38
2015,Nova Scotia,"Business, building and other support services [55-56]",993.01
2016,Nova Scotia,"Business, building and other support services [55-56]",1019.47
2017,Nova Scotia,"Business, building and other support services [55-56]",1034.69
2018,Nova Scotia,"Business, building and other support services [55-56]",1039.03
2019,Nova Scotia,"Business, building and other support services [55-56]",1089.67
2020,Nova Scotia,"Business, building and other support services [55-56]",1135.39
1997,Ontario,"Business, building and other support services [55-56]",590.79
1998,Ontario,"Business, building and other support services [55-56]",631.93
1999,Ontario,"Business, building and other support services [55-56]",627.76
2000,Ontario,"Business, building and other support services [55-56]",676.79
2001,Ontario,"Business, building and other support services [55-56]",682.65
2002,Ontario,"Business, building and other support services [55-56]",732.94
2003,Ontario,"Business, building and other support services [55-56]",730.35
2004,Ontario,"Business, building and other support services [55-56]",720.45
2005,Ontario,"Business, building and other support services [55-56]",733.24
2006,Ontario,"Business, building and other support services [55-56]",767.88
2007,Ontario,"Business, building and other support services [55-56]",773.37
2008,Ontario,"Business, building and other support services [55-56]",833.29
2009,Ontario,"Business, building and other support services [55-56]",880.34
2010,Ontario,"Business, building and other support services [55-56]",890.81
2011,Ontario,"Business, building and other support services [55-56]",897.98
2012,Ontario,"Business, building and other support services [55-56]",941.5
2013,Ontario,"Business, building and other support services [55-56]",959.56
2014,Ontario,"Business, building and other support services [55-56]",960.7
2015,Ontario,"Business, building and other support services [55-56]",1014.31
2016,Ontario,"Business, building and other support services [55-56]",1008.74
2017,Ontario,"Business, building and other support services [55-56]",1052.21
2018,Ontario,"Business, building and other support services [55-56]",1109.12
2019,Ontario,"Business, building and other support services [55-56]",1130.02
2020,Ontario,"Business, building and other support services [55-56]",1247.63
1997,Prince Edward Island,"Business, building and other support services [55-56]",604.55
1998,Prince Edward Island,"Business, building and other support services [55-56]",613.66
1999,Prince Edward Island,"Business, building and other support services [55-56]",624.89
2000,Prince Edward Island,"Business, building and other support services [55-56]",635.63
2001,Prince Edward Island,"Business, building and other support services [55-56]",660.29
2002,Prince Edward Island,"Business, building and other support services [55-56]",687.56
2003,Prince Edward Island,"Business, building and other support services [55-56]",707.58
2004,Prince Edward Island,"Business, building and other support services [55-56]",730.87
2005,Prince Edward Island,"Business, building and other support services [55-56]",726.1
2006,Prince Edward Island,"Business, building and other support services [55-56]",748.3
2007,Prince Edward Island,"Business, building and other support services [55-56]",742.15
2008,Prince Edward Island,"Business, building and other support services [55-56]",784.98
2009,Prince Edward Island,"Business, building and other support services [55-56]",808.95
2010,Prince Edward Island,"Business, building and other support services [55-56]",816.89
2011,Prince Edward Island,"Business, building and other support services [55-56]",834.24
2012,Prince Edward Island,"Business, building and other support services [55-56]",843.47
2013,Prince Edward Island,"Business, building and other support services [55-56]",876.21
2014,Prince Edward Island,"Business, building and other support services [55-56]",854.17
2015,Prince Edward Island,"Business, building and other support services [55-56]",889.19
2016,Prince Edward Island,"Business, building and other support services [55-56]",895.21
2017,Prince Edward Island,"Business, building and other support services [55-56]",897.97
2018,Prince Edward Island,"Business, building and other support services [55-56]",939.54
2019,Prince Edward Island,"Business, building and other support services [55-56]",938.01
2020,Prince Edward Island,"Business, building and other support services [55-56]",998.66
1997,Quebec,"Business, building and other support services [55-56]",604.35
1998,Quebec,"Business, building and other support services [55-56]",621.35
1999,Quebec,"Business, building and other support services [55-56]",624.02
2000,Quebec,"Business, building and other support services [55-56]",617.11
2001,Quebec,"Business, building and other support services [55-56]",660.06
2002,Quebec,"Business, building and other support services [55-56]",673.86
2003,Quebec,"Business, building and other support services [55-56]",639.6
2004,Quebec,"Business, building and other support services [55-56]",667.29
2005,Quebec,"Business, building and other support services [55-56]",669.71
2006,Quebec,"Business, building and other support services [55-56]",687.33
2007,Quebec,"Business, building and other support services [55-56]",743.87
2008,Quebec,"Business, building and other support services [55-56]",762.79
2009,Quebec,"Business, building and other support services [55-56]",761.69
2010,Quebec,"Business, building and other support services [55-56]",772.26
2011,Quebec,"Business, building and other support services [55-56]",812.44
2012,Quebec,"Business, building and other support services [55-56]",778.89
2013,Quebec,"Business, building and other support services [55-56]",831.09
2014,Quebec,"Business, building and other support services [55-56]",841.02
2015,Quebec,"Business, building and other support services [55-56]",886.06
2016,Quebec,"Business, building and other support services [55-56]",908.51
2017,Quebec,"Business, building and other support services [55-56]",870.05
2018,Quebec,"Business, building and other support services [55-56]",916.35
2019,Quebec,"Business, building and other support services [55-56]",949.84
2020,Quebec,"Business, building and other support services [55-56]",1127.92
1997,Saskatchewan,"Business, building and other support services [55-56]",734.1
1998,Saskatchewan,"Business, building and other support services [55-56]",747.98
1999,Saskatchewan,"Business, building and other support services [55-56]",756.03
2000,Saskatchewan,"Business, building and other support services [55-56]",750.01
2001,Saskatchewan,"Business, building and other support services [55-56]",762.27
2002,Saskatchewan,"Business, building and other support services [55-56]",785.21
2003,Saskatchewan,"Business, building and other support services [55-56]",808.06
2004,Saskatchewan,"Business, building and other support services [55-56]",791.59
2005,Saskatchewan,"Business, building and other support services [55-56]",803.4
2006,Saskatchewan,"Business, building and other support services [55-56]",827.31
2007,Saskatchewan,"Business, building and other support services [55-56]",857.82
2008,Saskatchewan,"Business, building and other support services [55-56]",890.16
2009,Saskatchewan,"Business, building and other support services [55-56]",894.15
2010,Saskatchewan,"Business, building and other support services [55-56]",964.1
2011,Saskatchewan,"Business, building and other support services [55-56]",938.07
2012,Saskatchewan,"Business, building and other support services [55-56]",996.65
2013,Saskatchewan,"Business, building and other support services [55-56]",991.05
2014,Saskatchewan,"Business, building and other support services [55-56]",1012.78
2015,Saskatchewan,"Business, building and other support services [55-56]",1028.68
2016,Saskatchewan,"Business, building and other support services [55-56]",1043.07
2017,Saskatchewan,"Business, building and other support services [55-56]",1050.92
2018,Saskatchewan,"Business, building and other support services [55-56]",1130.33
2019,Saskatchewan,"Business, building and other support services [55-56]",1126.81
2020,Saskatchewan,"Business, building and other support services [55-56]",1206.16
1997,Alberta,Construction [23],514.06
1998,Alberta,Construction [23],513.68
1999,Alberta,Construction [23],489.48
2000,Alberta,Construction [23],544.86
2001,Alberta,Construction [23],534.25
2002,Alberta,Construction [23],544.64
2003,Alberta,Construction [23],568.85
2004,Alberta,Construction [23],575.8
2005,Alberta,Construction [23],601.73
2006,Alberta,Construction [23],633.11
2007,Alberta,Construction [23],666.44
2008,Alberta,Construction [23],667.99
2009,Alberta,Construction [23],660.72
2010,Alberta,Construction [23],688.34
2011,Alberta,Construction [23],709.1
2012,Alberta,Construction [23],705.22
2013,Alberta,Construction [23],715.73
2014,Alberta,Construction [23],750.83
2015,Alberta,Construction [23],751.93
2016,Alberta,Construction [23],778.33
2017,Alberta,Construction [23],805.43
2018,Alberta,Construction [23],844.93
2019,Alberta,Construction [23],843.32
2020,Alberta,Construction [23],911.1
1997,British Columbia,Construction [23],734.39
1998,British Columbia,Construction [23],750.94
1999,British Columbia,Construction [23],776.59
2000,British Columbia,Construction [23],778.35
2001,British Columbia,Construction [23],809.24
2002,British Columbia,Construction [23],850.28
2003,British Columbia,Construction [23],859.74
2004,British Columbia,Construction [23],839.69
2005,British Columbia,Construction [23],930.57
2006,British Columbia,Construction [23],954.12
2007,British Columbia,Construction [23],973.82
2008,British Columbia,Construction [23],992.3
2009,British Columbia,Construction [23],1094.31
2010,British Columbia,Construction [23],1084.89
2011,British Columbia,Construction [23],1103.68
2012,British Columbia,Construction [23],1127.4
2013,British Columbia,Construction [23],1205.26
2014,British Columbia,Construction [23],1155.95
2015,British Columbia,Construction [23],1202.23
2016,British Columbia,Construction [23],1170.88
2017,British Columbia,Construction [23],1184.05
